%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1646153574602236208,-0.05000000074505806,0.05000000074505806,-0.05999999865889549,-0.125,-0.0625,-0.0625,2.0,3.0,3.0,3.0,5.0
1646153574701078551,-0.029999999329447746,0.05000000074505806,-0.07999999821186066,0.0,-0.125,-0.1875,2.0,3.0,3.0,3.0,6.0
1646153574805510333,-0.05000000074505806,0.05000000074505806,-0.07000000029802322,0.0,0.0625,-0.0625,2.0,3.0,3.0,3.0,5.0
1646153574909760189,-0.05000000074505806,0.029999999329447746,-0.05999999865889549,0.0625,-0.125,0.0625,2.0,3.0,3.0,3.0,4.0
1646153575017967691,-0.05000000074505806,0.03999999910593033,-0.07999999821186066,0.0625,0.0625,0.0625,2.0,3.0,3.0,3.0,6.0
1646153575117447850,-0.03999999910593033,0.03999999910593033,-0.09000000357627869,0.0625,-0.0625,0.0625,2.0,3.0,3.0,3.0,8.0
1646153575222071578,-0.05000000074505806,0.029999999329447746,-0.07999999821186066,0.0,0.125,0.0,2.0,3.0,3.0,3.0,4.0
1646153575325565210,-0.029999999329447746,0.05000000074505806,-0.09000000357627869,0.0,0.0625,0.0,2.0,3.0,3.0,3.0,6.0
1646153575433605195,-0.05999999865889549,0.019999999552965164,-0.05999999865889549,0.0625,-0.0625,0.0625,2.0,3.0,3.0,3.0,5.0
1646153575537448519,-0.03999999910593033,0.019999999552965164,-0.05999999865889549,-0.125,-0.0625,0.0,2.0,3.0,3.0,3.0,5.0
1646153575643474800,-0.019999999552965164,0.029999999329447746,-0.05999999865889549,0.0625,-0.125,0.0,2.0,3.0,3.0,3.0,4.0
1646153575743747460,-0.03999999910593033,0.03999999910593033,-0.029999999329447746,-0.0625,0.0625,-0.125,2.0,3.0,3.0,3.0,4.0
1646153575849312142,-0.05000000074505806,0.05000000074505806,-0.07999999821186066,0.0,0.0625,0.125,2.0,3.0,3.0,3.0,3.0
1646153575950489347,-0.03999999910593033,0.029999999329447746,-0.05999999865889549,0.0,0.0,0.125,2.0,3.0,3.0,3.0,5.0
1646153576052778013,-0.03999999910593033,0.05000000074505806,-0.05000000074505806,-0.0625,0.1875,0.0625,2.0,3.0,3.0,3.0,3.0
1646153576159006138,-0.05000000074505806,0.03999999910593033,-0.09000000357627869,0.3125,0.125,-0.0625,2.0,3.0,3.0,3.0,6.0
1646153576261356899,-0.14000000059604645,0.4099999964237213,-0.27000001072883606,0.3125,-0.0625,0.3125,2.0,3.0,3.0,3.0,5.0
1646153576365095637,-0.14000000059604645,-0.05000000074505806,0.019999999552965164,0.25,-0.1875,-0.5,2.0,3.0,3.0,3.0,3.0
1646153576470848387,-0.10000000149011612,0.5699999928474426,-0.20000000298023224,-0.3125,-3.4375,15.0625,2.0,3.0,3.0,3.0,5.0
1646153576573181095,-0.20000000298023224,-0.009999999776482582,0.20000000298023224,0.3125,0.5,5.5625,2.0,3.0,3.0,3.0,5.0
1646153576677112182,-0.07000000029802322,-0.009999999776482582,0.029999999329447746,0.125,0.5,0.5625,2.0,3.0,3.0,3.0,3.0
1646153576781316963,-0.019999999552965164,0.0,-0.09000000357627869,0.75,0.0,-0.0625,1.0,3.0,3.0,3.0,5.0
1646153576884970252,-0.09000000357627869,0.019999999552965164,-0.12999999523162842,1.75,0.3125,0.125,1.0,3.0,3.0,3.0,6.0
1646153576990068417,0.07000000029802322,-0.019999999552965164,-0.1599999964237213,0.3125,-0.25,-0.125,1.0,3.0,3.0,3.0,4.0
