%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1646147858827752178,0.25,-0.23999999463558197,0.10000000149011612,2.625,0.0625,0.0625,0.0,3.0,3.0,3.0,6.0
1646147858935168375,-0.019999999552965164,0.4300000071525574,-0.10000000149011612,-0.75,-1.3125,-0.125,0.0,3.0,3.0,3.0,3.0
1646147859039406927,0.10999999940395355,0.550000011920929,-0.07999999821186066,-3.8125,-0.8125,-0.125,0.0,3.0,3.0,3.0,5.0
1646147859143270237,0.3199999928474426,-0.6499999761581421,0.09000000357627869,-2.4375,0.125,0.4375,0.0,3.0,3.0,3.0,6.0
1646147859246934783,-0.05999999865889549,-0.47999998927116394,-0.1599999964237213,0.0625,-0.3125,0.0625,0.0,3.0,3.0,3.0,3.0
1646147859351043018,-0.23999999463558197,-0.10999999940395355,-0.03999999910593033,-0.9375,0.0,0.125,0.0,3.0,3.0,3.0,3.0
1646147859455192489,0.03999999910593033,-0.46000000834465027,-0.019999999552965164,-2.0,-0.375,0.5,0.0,3.0,3.0,3.0,5.0
1646147859559287412,0.10000000149011612,0.28999999165534973,-0.009999999776482582,-1.0,-1.5625,0.375,0.0,3.0,3.0,3.0,3.0
1646147859667245480,0.10999999940395355,-0.25999999046325684,-0.03999999910593033,0.6875,-1.5625,0.25,0.0,3.0,3.0,3.0,3.0
1646147859770980592,-0.009999999776482582,-0.07999999821186066,-0.09000000357627869,0.0625,0.3125,-0.625,0.0,3.0,3.0,3.0,4.0
1646147859874934209,0.10999999940395355,-0.33000001311302185,-0.029999999329447746,-1.75,0.375,0.0,0.0,3.0,3.0,3.0,3.0
1646147859980032936,0.05000000074505806,0.09000000357627869,0.0,2.3125,0.5625,0.0625,0.0,3.0,3.0,3.0,5.0
1646147860083592288,0.09000000357627869,-0.10000000149011612,-0.029999999329447746,-1.625,-1.375,0.0625,0.0,3.0,3.0,3.0,5.0
1646147860187195868,0.03999999910593033,-0.23000000417232513,-0.12999999523162842,2.8125,-0.3125,0.0625,0.0,3.0,3.0,3.0,3.0
1646147860290794619,0.10000000149011612,0.029999999329447746,-0.05000000074505806,0.5625,-0.3125,-0.0625,0.0,3.0,3.0,3.0,5.0
1646147860394743224,0.10999999940395355,-0.09000000357627869,-0.05999999865889549,-2.6875,-0.6875,-0.125,0.0,3.0,3.0,3.0,5.0
1646147860499375790,0.03999999910593033,-0.23999999463558197,-0.05999999865889549,-0.375,0.0625,0.125,0.0,3.0,3.0,3.0,3.0
1646147860603220495,0.05000000074505806,-0.1599999964237213,0.0,0.75,0.1875,0.1875,0.0,3.0,3.0,3.0,6.0
1646147860707744875,0.05000000074505806,0.07000000029802322,-0.009999999776482582,0.5625,-0.25,0.125,0.0,3.0,3.0,3.0,4.0
1646147860813388111,0.009999999776482582,-0.4099999964237213,-0.05000000074505806,-0.125,0.6875,0.0625,0.0,3.0,3.0,3.0,3.0
1646147860915121933,0.05000000074505806,0.11999999731779099,-0.019999999552965164,-0.4375,-0.1875,0.1875,0.0,3.0,3.0,3.0,4.0
1646147861021423923,0.019999999552965164,-0.18000000715255737,-0.019999999552965164,-0.125,-0.75,0.125,0.0,3.0,3.0,3.0,4.0
1646147861123343339,0.05000000074505806,-0.10000000149011612,-0.029999999329447746,-0.5,-0.9375,0.0,0.0,3.0,3.0,3.0,4.0
1646147861228700277,-0.019999999552965164,-0.10000000149011612,-0.10000000149011612,0.0625,-0.4375,0.0625,0.0,3.0,3.0,3.0,4.0
1646147861330999934,0.0,-0.20000000298023224,-0.019999999552965164,0.0,0.25,0.0,0.0,3.0,3.0,3.0,4.0
1646147861434701906,0.019999999552965164,-0.2199999988079071,-0.05999999865889549,0.25,0.0,0.125,0.0,3.0,3.0,3.0,3.0
1646147861539097528,0.05999999865889549,-0.019999999552965164,0.0,0.4375,0.25,0.125,0.0,3.0,3.0,3.0,4.0
1646147861643650321,0.009999999776482582,0.05999999865889549,-0.029999999329447746,-0.125,0.125,-0.0625,0.0,3.0,3.0,3.0,6.0
1646147861747862192,0.019999999552965164,-0.10000000149011612,-0.05000000074505806,0.375,0.3125,0.25,0.0,3.0,3.0,3.0,5.0
1646147861855310597,0.019999999552965164,-0.029999999329447746,0.0,-0.125,0.0625,0.375,0.0,3.0,3.0,3.0,6.0
1646147861958356757,0.03999999910593033,0.0,-0.029999999329447746,0.25,0.0,-0.1875,0.0,3.0,3.0,3.0,5.0
