%time,field.data
1646147858753182015,time:1646147858.7528484, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858773008290,time:1646147858.7725372, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858793213029,time:1646147858.7927158, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858812868128,time:1646147858.8123896, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858834953738,time:1646147858.8320196, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858853058979,time:1646147858.8523116, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858872382431,time:1646147858.8720284, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858893532077,time:1646147858.893215, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858914506359,time:1646147858.9131932, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858932636931,time:1646147858.932323, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858952986981,time:1646147858.9525115, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858973549763,time:1646147858.9728673, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147858992869852,time:1646147858.9922128, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859014357036,time:1646147859.0136216, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859033576453,time:1646147859.033196, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859053189837,time:1646147859.0527308, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859072525448,time:1646147859.0721104, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859097708443,time:1646147859.0967326, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859113443830,time:1646147859.1128855, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859132683058,time:1646147859.1322536, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859153641692,time:1646147859.1526992, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859174047086,time:1646147859.1734502, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859193698115,time:1646147859.193155, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859214207830,time:1646147859.2133315, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859235936080,time:1646147859.2337766, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859252647875,time:1646147859.2521982, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859273948304,time:1646147859.2734046, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859292741456,time:1646147859.2923074, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859312472192,time:1646147859.3120837, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859333074093,time:1646147859.332455, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859352470251,time:1646147859.3521364, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859377109289,time:1646147859.3764982, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859393165228,time:1646147859.3927567, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859413355052,time:1646147859.4129605, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859432660936,time:1646147859.4322932, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859452655615,time:1646147859.4519851, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859474645528,time:1646147859.4741457, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859493852426,time:1646147859.4931266, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859513124364,time:1646147859.5126994, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859534458656,time:1646147859.5338104, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859553021275,time:1646147859.552373, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859572963451,time:1646147859.5724113, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859594523720,time:1646147859.59307, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859612981896,time:1646147859.6125453, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859632954575,time:1646147859.6325312, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859653637572,time:1646147859.6532915, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859676059258,time:1646147859.6756663, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859693901460,time:1646147859.6930132, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859712528301,time:1646147859.712182, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859732849908,time:1646147859.7325017, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859752966890,time:1646147859.752556, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859775885817,time:1646147859.7753928, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859793017737,time:1646147859.7926772, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859813633747,time:1646147859.8130765, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859834152189,time:1646147859.8324587, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859852397621,time:1646147859.8520992, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859872671425,time:1646147859.8723876, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859893591434,time:1646147859.8931892, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859913181784,time:1646147859.9128506, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859932824832,time:1646147859.9325428, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859952556273,time:1646147859.9522548, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859973253850,time:1646147859.9727378, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147859993949749,time:1646147859.9932404, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860012870912,time:1646147860.0122924, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860032420393,time:1646147860.032136, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860055658060,time:1646147860.0553696, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860072454914,time:1646147860.0721636, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646147860092931940,time:1646147860.0926332, thrl:0.00634765625, r:0.00048828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
