%time,field.data
1646148403862200392,time:1646148403.861801, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403882536553,time:1646148403.8821344, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403902827876,time:1646148403.9022129, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403922119333,time:1646148403.9217591, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403943111470,time:1646148403.9424667, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403963658982,time:1646148403.9631495, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148403982779947,time:1646148403.9821084, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404003011175,time:1646148404.0024965, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404022783490,time:1646148404.0221431, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404042756405,time:1646148404.04237, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404062654672,time:1646148404.0620654, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404082255421,time:1646148404.0818481, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404102378061,time:1646148404.1019552, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404122372506,time:1646148404.1219332, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404142543495,time:1646148404.142223, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404162470038,time:1646148404.1620662, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404182873455,time:1646148404.1822164, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404203161100,time:1646148404.2026727, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404222573049,time:1646148404.222177, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404244981390,time:1646148404.244754, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404262334970,time:1646148404.2619843, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404284830693,time:1646148404.2843504, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
1646148404302937083,time:1646148404.3024542, thrl:0.00048828125, r:-0.000518798828125, p:0.999969482421875, y:-0.005401611328125, a:0.00048828125
