%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1646151456927639353,2.7100000381469727,-2.0299999713897705,-1.5499999523162842,-9.3125,-1.0625,11.625,0.0,3.0,3.0,3.0,4.0
1646151457030973334,-3.180000066757202,-2.700000047683716,1.2000000476837158,-13.625,-0.4375,10.5625,0.0,3.0,3.0,3.0,5.0
1646151457136970118,0.7799999713897705,14.630000114440918,0.9700000286102295,9.0,0.5625,2.375,0.0,3.0,3.0,3.0,6.0
1646151457239506672,-2.5999999046325684,3.200000047683716,1.059999942779541,-15.5,-2.5,-46.75,0.0,3.0,3.0,3.0,4.0
1646151457343144496,-0.5799999833106995,-14.949999809265137,0.14000000059604645,17.3125,-1.375,-15.5625,0.0,3.0,3.0,3.0,5.0
1646151457446805133,-3.4600000381469727,-12.489999771118164,0.5,1.4375,0.0,3.0,0.0,3.0,3.0,3.0,6.0
1646151457550561347,2.190000057220459,2.940000057220459,-0.7900000214576721,8.8125,-0.1875,1.3125,0.0,3.0,3.0,3.0,4.0
1646151457659582243,1.940000057220459,-6.409999847412109,-1.5399999618530273,13.0625,0.125,2.4375,0.0,3.0,3.0,3.0,4.0
1646151457763927387,-0.8999999761581421,11.819999694824219,1.7300000190734863,-4.875,-0.3125,1.4375,0.0,3.0,3.0,3.0,3.0
1646151457868185043,0.47999998927116394,14.529999732971191,0.8199999928474426,17.9375,0.9375,3.25,0.0,3.0,3.0,3.0,4.0
1646151457970742887,-2.5799999237060547,-13.850000381469727,0.25999999046325684,-2.75,0.125,3.0625,0.0,3.0,3.0,3.0,4.0
1646151458075156404,2.619999885559082,0.9700000286102295,-1.3799999952316284,12.6875,0.0625,1.75,0.0,3.0,3.0,3.0,3.0
1646151458178673629,1.350000023841858,-8.180000305175781,-1.75,9.1875,0.5625,1.9375,0.0,3.0,3.0,3.0,3.0
1646151458282778676,-0.6100000143051147,-14.680000305175781,-0.8100000023841858,-15.8125,-0.375,0.9375,0.0,3.0,3.0,3.0,3.0
1646151458390969132,0.3100000023841858,15.520000457763672,1.309999942779541,19.3125,0.5,-2.6875,0.0,3.0,3.0,3.0,4.0
1646151458490432231,-2.2100000381469727,-13.430000305175781,-0.30000001192092896,-13.3125,-1.9375,-6.125,0.0,3.0,3.0,3.0,3.0
1646151458594660054,-3.180000066757202,-5.360000133514404,1.0700000524520874,-16.6875,0.8125,-8.75,0.0,3.0,3.0,3.0,7.0
1646151458699141861,1.7799999713897705,8.529999732971191,-0.46000000834465027,-3.0,0.6875,-13.5,0.0,3.0,3.0,3.0,4.0
1646151458803206134,0.6299999952316284,13.65999984741211,1.5700000524520874,-6.0,0.5625,2.125,0.0,3.0,3.0,3.0,5.0
1646151458907406702,2.240000009536743,4.139999866485596,-0.9900000095367432,0.1875,0.3125,0.875,0.0,3.0,3.0,3.0,4.0
1646151459010913677,-1.7599999904632568,8.119999885559082,1.840000033378601,-9.0625,0.0,-0.4375,0.0,3.0,3.0,3.0,5.0
1646151459115667741,-0.5299999713897705,11.699999809265137,1.2999999523162842,3.8125,0.3125,0.1875,0.0,3.0,3.0,3.0,5.0
1646151459218790038,-2.009999990463257,-11.90999984741211,0.019999999552965164,-2.625,0.0,-0.5625,0.0,3.0,3.0,3.0,3.0
1646151459328009426,2.640000104904175,5.53000020980835,-0.5600000023841858,12.1875,0.1875,0.125,0.0,3.0,3.0,3.0,3.0
1646151459430700007,2.240000009536743,2.75,-0.9100000262260437,8.6875,0.3125,0.625,0.0,3.0,3.0,3.0,4.0
1646151459534855912,1.1699999570846558,-8.880000114440918,-1.6100000143051147,9.5,-0.375,-0.8125,0.0,3.0,3.0,3.0,3.0
1646151459638662558,0.3499999940395355,-11.3100004196167,-1.6699999570846558,12.75,-0.5,-0.8125,0.0,3.0,3.0,3.0,6.0
1646151459742595208,0.9900000095367432,12.489999771118164,0.8799999952316284,-0.875,0.25,-1.8125,0.0,3.0,3.0,3.0,4.0
1646151459846819720,1.6799999475479126,11.430000305175781,0.20000000298023224,3.5625,0.0,-1.875,0.0,3.0,3.0,3.0,3.0
1646151459952213757,2.299999952316284,-1.190000057220459,-1.899999976158142,-6.4375,-0.5,-1.25,0.0,3.0,3.0,3.0,6.0
1646151460055074040,2.2799999713897705,-3.7699999809265137,-2.069999933242798,-8.625,0.5,-1.875,0.0,3.0,3.0,3.0,6.0
1646151460159827419,1.7000000476837158,-6.46999979019165,-1.659999966621399,4.1875,0.375,-1.1875,0.0,3.0,3.0,3.0,5.0
1646151460264683513,-1.399999976158142,-12.15999984741211,-0.41999998688697815,-1.9375,-0.1875,-0.3125,0.0,3.0,3.0,3.0,5.0
1646151460371876298,2.1600000858306885,7.420000076293945,-0.14000000059604645,12.25,-0.375,0.1875,0.0,3.0,3.0,3.0,4.0
