%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1651430099910509981,-0.07000000029802322,-0.009999999776482582,0.0,0.0,0.0,-0.0625,3.0,3.0,3.0,3.0,9.0
1651430099913254540,-0.10999999940395355,-0.05000000074505806,0.0,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,5.0
1651430099918092826,-0.10999999940395355,-0.05000000074505806,0.0,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,6.0
1651430099921469654,-0.09000000357627869,-0.029999999329447746,-0.009999999776482582,0.125,-0.0625,0.0625,3.0,3.0,3.0,3.0,4.0
1651430099925334884,-0.09000000357627869,-0.029999999329447746,0.009999999776482582,0.125,-0.0625,0.0625,3.0,3.0,3.0,3.0,6.0
1651430099931447116,-0.09000000357627869,-0.029999999329447746,0.009999999776482582,0.125,-0.0625,0.0625,3.0,3.0,3.0,3.0,6.0
1651430099938331614,-0.07999999821186066,-0.03999999910593033,0.0,0.0625,-0.25,0.0,3.0,3.0,3.0,3.0,4.0
1651430099946472410,-0.07999999821186066,-0.03999999910593033,0.0,0.0625,-0.25,0.0,3.0,3.0,3.0,3.0,6.0
1651430099951115271,-0.09000000357627869,-0.029999999329447746,-0.019999999552965164,0.0625,-0.25,0.0,3.0,3.0,3.0,3.0,5.0
1651430099957361247,-0.09000000357627869,-0.029999999329447746,-0.019999999552965164,-0.0625,-0.125,-0.0625,3.0,3.0,3.0,3.0,7.0
1651430099962890295,-0.10000000149011612,-0.03999999910593033,-0.009999999776482582,0.0,-0.125,-0.0625,3.0,3.0,3.0,3.0,4.0
1651430099967470373,-0.07999999821186066,-0.019999999552965164,-0.019999999552965164,-0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,3.0
1651430099973426939,-0.07999999821186066,-0.019999999552965164,-0.019999999552965164,-0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,4.0
1651430099980150749,-0.05000000074505806,-0.029999999329447746,-0.029999999329447746,-0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,6.0
1651430099985677997,-0.05000000074505806,-0.029999999329447746,-0.029999999329447746,0.0,-0.0625,-0.0625,3.0,3.0,3.0,3.0,6.0
1651430099995126982,-0.09000000357627869,-0.03999999910593033,-0.009999999776482582,0.125,0.0,-0.0625,3.0,3.0,3.0,3.0,4.0
1651430100003206347,-0.09000000357627869,-0.029999999329447746,-0.009999999776482582,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0
1651430100013863759,-0.09000000357627869,-0.029999999329447746,-0.009999999776482582,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0
1651430100018575217,-0.07999999821186066,-0.009999999776482582,0.0,0.0,0.125,0.0625,3.0,3.0,3.0,3.0,6.0
1651430100021381498,-0.10000000149011612,-0.009999999776482582,0.0,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,5.0
1651430100028272257,-0.10000000149011612,-0.009999999776482582,0.0,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,5.0
1651430100031636523,-0.09000000357627869,-0.019999999552965164,0.0,0.0625,0.1875,-0.125,3.0,3.0,3.0,3.0,6.0
1651430100036683670,-0.07000000029802322,-0.029999999329447746,-0.029999999329447746,0.0625,0.1875,-0.125,3.0,3.0,3.0,3.0,6.0
1651430100042569026,-0.07000000029802322,-0.029999999329447746,-0.029999999329447746,-0.0625,0.1875,-0.125,3.0,3.0,3.0,3.0,5.0
1651430100049747491,-0.07999999821186066,-0.009999999776482582,-0.029999999329447746,0.0,0.1875,0.0,3.0,3.0,3.0,3.0,4.0
1651430100054378343,-0.07999999821186066,-0.009999999776482582,-0.029999999329447746,0.0,0.1875,0.0,3.0,3.0,3.0,3.0,4.0
1651430100058924210,-0.10000000149011612,-0.03999999910593033,0.0,0.0,0.1875,0.0,3.0,3.0,3.0,3.0,6.0
1651430100066117286,-0.10000000149011612,-0.03999999910593033,0.0,0.0,0.1875,0.0,3.0,3.0,3.0,3.0,6.0
1651430100073122166,-0.09000000357627869,0.0,0.009999999776482582,-0.0625,0.0,-0.125,3.0,3.0,3.0,3.0,5.0
1651430100076583089,-0.09000000357627869,0.0,0.009999999776482582,-0.0625,0.0,-0.125,3.0,3.0,3.0,3.0,5.0
