%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651430099920348096,0.0,0.0,0.0,0.0,0.0,0,0
1651430099922161781,0.0,0.0,0.0,0.0,0.0,0,0
1651430099922226831,0.0,0.0,0.0,0.0,0.0,0,0
1651430099922228754,0.0,0.0,0.0,0.0,0.0,0,0
1651430099922230287,0.0,0.0,0.0,0.0,0.0,0,0
1651430099922232040,0.0,0.0,0.0,0.0,0.0,0,0
1651430099923966529,0.0,0.0,0.0,0.0,0.0,0,0
1651430099929400702,0.0,0.0,0.0,0.0,0.0,0,0
1651430099929576062,0.0,0.0,0.0,0.0,0.0,0,0
1651430099929791763,0.0,0.0,0.0,0.0,0.0,0,0
1651430099930841950,0.0,0.0,0.0,0.0,0.0,0,0
1651430099932660340,0.0,0.0,0.0,0.0,0.0,0,0
1651430099936308462,0.0,0.0,0.0,0.0,0.0,0,0
1651430099937621103,0.0,0.0,0.0,0.0,0.0,0,0
1651430099939883381,0.0,0.0,0.0,0.0,0.0,0,0
1651430099946077652,0.0,0.0,0.0,0.0,0.0,0,0
1651430099952329701,0.0,0.0,0.0,0.0,0.0,0,0
1651430099953899773,0.0,0.0,0.0,0.0,0.0,0,0
1651430099953905433,0.0,0.0,0.0,0.0,0.0,0,0
1651430099953907807,0.0,0.0,0.0,0.0,0.0,0,0
1651430099955852344,0.0,0.0,0.0,0.0,0.0,0,0
1651430099957866653,0.0,0.0,0.0,0.0,0.0,0,0
1651430099961108573,0.0,0.0,0.0,0.0,0.0,0,0
1651430099961113592,0.0,0.0,0.0,0.0,0.0,0,0
1651430099964032256,0.0,0.0,0.0,0.0,0.0,0,0
1651430099965656761,0.0,0.0,0.0,0.0,0.0,0,0
1651430099967476624,0.0,0.0,0.0,0.0,0.0,0,0
1651430099970423653,0.0,0.0,0.0,0.0,0.0,0,0
1651430099971227000,0.0,0.0,0.0,0.0,0.0,0,0
1651430099973871287,0.0,0.0,0.0,0.0,0.0,0,0
1651430099975708230,0.0,0.0,0.0,0.0,0.0,0,0
1651430099978765746,0.0,0.0,0.0,0.0,0.0,0,0
1651430099988524355,0.0,0.0,0.0,0.0,0.0,0,0
1651430099989210079,0.0,0.0,0.0,0.0,0.0,0,0
1651430099989622729,0.0,0.0,0.0,0.0,0.0,0,0
1651430099991003748,0.0,0.0,0.0,0.0,0.0,0,0
1651430099992782731,0.0,0.0,0.0,0.0,0.0,0,0
1651430099995140357,0.0,0.0,0.0,0.0,0.0,0,0
1651430099997607105,0.0,0.0,0.0,0.0,0.0,0,0
1651430100001349283,0.0,0.0,0.0,0.0,0.0,0,0
1651430100005030692,0.0,0.0,0.0,0.0,0.0,0,0
1651430100007705361,0.0,0.0,0.0,0.0,0.0,0,0
1651430100009517021,0.0,0.0,0.0,0.0,0.0,0,0
1651430100013851356,0.0,0.0,0.0,0.0,0.0,0,0
1651430100019835392,0.0,0.0,0.0,0.0,0.0,0,0
1651430100022230951,0.0,0.0,0.0,0.0,0.0,0,0
1651430100024327112,0.0,0.0,0.0,0.0,0.0,0,0
1651430100028449625,0.0,0.0,0.0,0.0,0.0,0,0
1651430100028455376,0.0,0.0,0.0,0.0,0.0,0,0
1651430100030546598,0.0,0.0,0.0,0.0,0.0,0,0
1651430100032601853,0.0,0.0,0.0,0.0,0.0,0,0
1651430100036257564,0.0,0.0,0.0,0.0,0.0,0,0
1651430100036266020,0.0,0.0,0.0,0.0,0.0,0,0
1651430100038943478,0.0,0.0,0.0,0.0,0.0,0,0
1651430100041148746,0.0,0.0,0.0,0.0,0.0,0,0
1651430100044924800,0.0,0.0,0.0,0.0,0.0,0,0
1651430100046245497,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064001991,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064558176,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064562204,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064564188,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064565971,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064567774,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064569557,0.0,0.0,0.0,0.0,0.0,0,0
1651430100064571010,0.0,0.0,0.0,0.0,0.0,0,0
1651430100067944212,0.0,0.0,0.0,0.0,0.0,0,0
1651430100067949281,0.0,0.0,0.0,0.0,0.0,0,0
1651430100071269591,0.0,0.0,0.0,0.0,0.0,0,0
1651430100071278982,0.0,0.0,0.0,0.0,0.0,0,0
1651430100071285941,0.0,0.0,0.0,0.0,0.0,0,0
1651430100073087552,0.0,0.0,0.0,0.0,0.0,0,0
1651430100074965181,0.0,0.0,0.0,0.0,0.0,0,0
1651430100079208637,0.0,0.0,0.0,0.0,0.0,0,0
1651430100079215185,0.0,0.0,0.0,0.0,0.0,0,0
1651430100080458605,0.0,0.0,0.0,0.0,0.0,0,0
1651430100082698970,0.0,0.0,0.0,0.0,0.0,0,0
1651430100084790416,0.0,0.0,0.0,0.0,0.0,0,0
1651430100088485378,0.0,0.0,0.0,0.0,0.0,0,0
1651430100088489125,0.0,0.0,0.0,0.0,0.0,0,0
1651430100090570297,0.0,0.0,0.0,0.0,0.0,0,0
1651430100093497060,0.0,0.0,0.0,0.0,0.0,0,0
1651430100095578834,0.0,0.0,0.0,0.0,0.0,0,0
1651430100097072048,0.0,0.0,0.0,0.0,0.0,0,0
1651430100097715997,0.0,0.0,0.0,0.0,0.0,0,0
1651430100102397350,0.0,0.0,0.0,0.0,0.0,0,0
