%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651430099903870657,0.0,0.0,0.0,0.0,0.0,0,0
1651430099913273429,0.0,0.0,0.0,0.0,0.0,0,0
1651430099923513605,0.0,0.0,0.0,0.0,0.0,0,0
1651430099933301236,0.0,0.0,0.0,0.0,0.0,0,0
1651430099946062143,0.0,0.0,0.0,0.0,0.0,0,0
1651430099954716549,0.0,0.0,0.0,0.0,0.0,0,0
1651430099963297326,0.0,0.0,0.0,0.0,0.0,0,0
1651430099973606249,0.0,0.0,0.0,0.0,0.0,0,0
1651430099984991418,0.0,0.0,0.0,0.0,0.0,0,0
1651430099993100213,0.0,0.0,0.0,0.0,0.0,0,0
1651430100005003210,0.0,0.0,0.0,0.0,0.0,0,0
1651430100014108084,0.0,0.0,0.0,0.0,0.0,0,0
1651430100023603666,0.0,0.0,0.0,0.0,0.0,0,0
1651430100033466897,0.0,0.0,0.0,0.0,0.0,0,0
1651430100044932454,0.0,0.0,0.0,0.0,0.0,0,0
1651430100054516758,0.0,0.0,0.0,0.0,0.0,0,0
1651430100063971274,0.0,0.0,0.0,0.0,0.0,0,0
1651430100073622188,0.0,0.0,0.0,0.0,0.0,0,0
1651430100084768887,0.0,0.0,0.0,0.0,0.0,0,0
1651430100094390368,0.0,0.0,0.0,0.0,0.0,0,0
1651430100106611422,0.0,0.0,0.0,0.0,0.0,0,0
1651430100113738785,0.0,0.0,0.0,0.0,0.0,0,0
1651430100124198531,0.0,0.0,0.0,0.0,0.0,0,0
1651430100134732407,0.0,0.0,0.0,0.0,0.0,0,0
1651430100144353459,0.0,0.0,0.0,0.0,0.0,0,0
1651430100153629120,0.0,0.0,0.0,0.0,0.0,0,0
1651430100163658178,0.0,0.0,0.0,0.0,0.0,0,0
1651430100174608411,0.0,0.0,0.0,0.0,0.0,0,0
1651430100187563066,0.0,0.0,0.0,0.0,0.0,0,0
1651430100194906365,0.0,0.0,0.0,0.0,0.0,0,0
1651430100204958517,0.0,0.0,0.0,0.0,0.0,0,0
1651430100214195167,0.0,0.0,0.0,0.0,0.0,0,0
1651430100223822279,0.0,0.0,0.0,0.0,0.0,0,0
1651430100233180351,0.0,0.0,0.0,0.0,0.0,0,0
1651430100244724069,0.0,0.0,0.0,0.0,0.0,0,0
1651430100253275221,0.0,0.0,0.0,0.0,0.0,0,0
1651430100263432614,0.0,0.0,0.0,0.0,0.0,0,0
1651430100274029919,0.0,0.0,0.0,0.0,0.0,0,0
1651430100283493453,0.0,0.0,0.0,0.0,0.0,0,0
1651430100293868143,0.0,0.0,0.0,0.0,0.0,0,0
1651430100303542281,0.0,0.0,0.0,0.0,0.0,0,0
1651430100313940031,0.0,0.0,0.0,0.0,0.0,0,0
1651430100323138947,0.0,0.0,0.0,0.0,0.0,0,0
1651430100343490109,0.0,0.0,0.0,0.0,0.0,0,0
1651430100344843245,0.0,0.0,0.0,0.0,0.0,0,0
1651430100353272191,0.0,0.0,0.0,0.0,0.0,0,0
1651430100363455376,0.0,0.0,0.0,0.0,0.0,0,0
1651430100373870304,0.0,0.0,0.0,0.0,0.0,0,0
1651430100383626027,0.0,0.0,0.0,0.0,0.0,0,0
1651430100393932523,0.0,0.0,0.0,0.0,0.0,0,0
1651430100404782948,0.0,0.0,0.0,0.0,0.0,0,0
1651430100413260129,0.0,0.0,0.0,0.0,0.0,0,0
1651430100425959951,0.0,0.0,0.0,0.0,0.0,0,0
1651430100433547827,0.0,0.0,0.0,0.0,0.0,0,0
1651430100444081123,0.0,0.0,0.0,0.0,0.0,0,0
1651430100453236120,0.0,0.0,0.0,0.0,0.0,0,0
1651430100463554384,0.0,0.0,0.0,0.0,0.0,0,0
1651430100473712200,0.0,0.0,0.0,0.0,0.0,0,0
1651430100483273558,0.0,0.0,0.0,0.0,0.0,0,0
1651430100493781109,0.0,0.0,0.0,0.0,0.0,0,0
1651430100503253393,0.0,0.0,0.0,0.0,0.0,0,0
1651430100514056177,0.0,0.0,0.0,0.0,0.0,0,0
1651430100523121767,0.0,0.0,0.0,0.0,0.0,0,0
1651430100533838490,0.0,0.0,0.0,0.0,0.0,0,0
1651430100543776108,0.0,0.0,0.0,0.0,0.0,0,0
1651430100553915628,0.0,0.0,0.0,0.0,0.0,0,0
1651430100563694483,0.0,0.0,0.0,0.0,0.0,0,0
1651430100573455698,0.0,0.0,0.0,0.0,0.0,0,0
1651430100583502338,0.0,0.0,0.0,0.0,0.0,0,0
1651430100594817872,0.0,0.0,0.0,0.0,0.0,0,0
1651430100603215489,0.0,0.0,0.0,0.0,0.0,0,0
1651430100613233957,0.0,0.0,0.0,0.0,0.0,0,0
1651430100623222028,0.0,0.0,0.0,0.0,0.0,0,0
1651430100633222453,0.0,0.0,0.0,0.0,0.0,0,0
1651430100643801810,0.0,0.0,0.0,0.0,0.0,0,0
1651430100653448076,0.0,0.0,0.0,0.0,0.0,0,0
1651430100663354618,0.0,0.0,0.0,0.0,0.0,0,0
1651430100673319506,0.0,0.0,0.0,0.0,0.0,0,0
1651430100683321884,0.0,0.0,0.0,0.0,0.0,0,0
1651430100693342553,0.0,0.0,0.0,0.0,0.0,0,0
1651430100703578160,0.0,0.0,0.0,0.0,0.0,0,0
1651430100713020731,0.0,0.0,0.0,0.0,0.0,0,0
1651430100723127617,0.0,0.0,0.0,0.0,0.0,0,0
1651430100734365256,0.0,0.0,0.0,0.0,0.0,0,0
1651430100744837501,0.0,0.0,0.0,0.0,0.0,0,0
1651430100754095336,0.0,0.0,0.0,0.0,0.0,0,0
1651430100764150847,0.0,0.0,0.0,0.0,0.0,0,0
1651430100774009095,0.0,0.0,0.0,0.0,0.0,0,0
1651430100783858667,0.0,0.0,0.0,0.0,0.0,0,0
1651430100793430712,0.0,0.0,0.0,0.0,0.0,0,0
1651430100803400212,0.0,0.0,0.0,0.0,0.0,0,0
1651430100813238307,0.0,0.0,0.0,0.0,0.0,0,0
1651430100825426766,0.0,0.0,0.0,0.0,0.0,0,0
1651430100834467731,0.0,0.0,0.0,0.0,0.0,0,0
1651430100843305843,0.0,0.0,0.0,0.0,0.0,0,0
1651430100854243901,0.0,0.0,0.0,0.0,0.0,0,0
1651430100864151366,0.0,0.0,0.0,0.0,0.0,0,0
1651430100873382480,0.0,0.0,0.0,0.0,0.0,0,0
1651430100883488880,0.0,0.0,0.0,0.0,0.0,0,0
1651430100893273156,0.0,0.0,0.0,0.0,0.0,0,0
1651430100904226128,0.0,0.0,0.0,0.0,0.0,0,0
1651430100913294988,0.0,0.0,0.0,0.0,0.0,0,0
1651430100923437795,0.0,0.0,0.0,0.0,0.0,0,0
1651430100933212327,0.0,0.0,0.0,0.0,0.0,0,0
1651430100943771006,0.0,0.0,0.0,0.0,0.0,0,0
1651430100953626915,0.0,0.0,0.0,0.0,0.0,0,0
1651430100964702697,0.0,0.0,0.0,0.0,0.0,0,0
1651430100973429502,0.0,0.0,0.0,0.0,0.0,0,0
1651430100983011827,0.0,0.0,0.0,0.0,0.0,0,0
1651430100993769261,0.0,0.0,0.0,0.0,0.0,0,0
1651430101004282586,0.0,0.0,0.0,0.0,0.0,0,0
1651430101014573296,0.0,0.0,0.0,0.0,0.0,0,0
1651430101023287308,0.0,0.0,0.0,0.0,0.0,0,0
1651430101033562770,0.0,0.0,0.0,0.0,0.0,0,0
1651430101043661936,0.0,0.0,0.0,0.0,0.0,0,0
1651430101053652283,0.0,0.0,0.0,0.0,0.0,0,0
1651430101063157313,0.0,0.0,0.0,0.0,0.0,0,0
1651430101073242748,0.0,0.0,0.0,0.0,0.0,0,0
1651430101083168511,0.0,0.0,0.0,0.0,0.0,0,0
1651430101093619566,0.0,0.0,0.0,0.0,0.0,0,0
1651430101106298682,0.0,0.0,0.0,0.0,0.0,0,0
1651430101113466142,0.0,0.0,0.0,0.0,0.0,0,0
1651430101123159003,0.0,0.0,0.0,0.0,0.0,0,0
1651430101133623081,0.0,0.0,0.0,0.0,0.0,0,0
1651430101144905332,0.0,0.0,0.0,0.0,0.0,0,0
1651430101154919397,0.0,0.0,0.0,0.0,0.0,0,0
1651430101164637088,0.0,0.0,0.0,0.0,0.0,0,0
1651430101177091209,0.0,0.0,0.0,0.0,0.0,0,0
1651430101183896283,0.0,0.0,0.0,0.0,0.0,0,0
1651430101193590410,0.0,0.0,0.0,0.0,0.0,0,0
1651430101203564405,0.0,0.0,0.0,0.0,0.0,0,0
1651430101213215649,0.0,0.0,0.0,0.0,0.0,0,0
1651430101223362419,0.0,0.0,0.0,0.0,0.0,0,0
1651430101233543047,0.0,0.0,0.0,0.0,0.0,0,0
1651430101243737699,0.0,0.0,0.0,0.0,0.0,0,0
1651430101253456485,0.0,0.0,0.0,0.0,0.0,0,0
1651430101264311027,0.0,0.0,0.0,0.0,0.0,0,0
1651430101273115816,0.0,0.0,0.0,0.0,0.0,0,0
1651430101283361721,0.0,0.0,0.0,0.0,0.0,0,0
1651430101293260871,0.0,0.0,0.0,0.0,0.0,0,0
1651430101303543724,0.0,0.0,0.0,0.0,0.0,0,0
1651430101314045461,0.0,0.0,0.0,0.0,0.0,0,0
1651430101323378418,0.0,0.0,0.0,0.0,0.0,0,0
1651430101335796047,0.0,0.0,0.0,0.0,0.0,0,0
1651430101343917440,0.0,0.0,0.0,0.0,0.0,0,0
1651430101353216841,0.0,0.0,0.0,0.0,0.0,0,0
1651430101363635965,0.0,0.0,0.0,0.0,0.0,0,0
1651430101373404852,0.0,0.0,0.0,0.0,0.0,0,0
1651430101383939091,0.0,0.0,0.0,0.0,0.0,0,0
1651430101394012801,0.0,0.0,0.0,0.0,0.0,0,0
1651430101403306071,0.0,0.0,0.0,0.0,0.0,0,0
1651430101413976784,0.0,0.0,0.0,0.0,0.0,0,0
1651430101425289980,0.0,0.0,0.0,0.0,0.0,0,0
1651430101433544259,0.0,0.0,0.0,0.0,0.0,0,0
1651430101443788570,0.0,0.0,0.0,0.0,0.0,0,0
1651430101453537409,0.0,0.0,0.0,0.0,0.0,0,0
1651430101464030862,0.0,0.0,0.0,0.0,0.0,0,0
1651430101474802284,0.0,0.0,0.0,0.0,0.0,0,0
1651430101483265327,0.0,0.0,0.0,0.0,0.0,0,0
1651430101494378624,0.0,0.0,0.0,0.0,0.0,0,0
1651430101504000711,0.0,0.0,0.0,0.0,0.0,0,0
1651430101513832480,0.0,0.0,0.0,0.0,0.0,0,0
1651430101524051113,0.0,0.0,0.0,0.0,0.0,0,0
1651430101533278360,0.0,0.0,0.0,0.0,0.0,0,0
1651430101543886845,0.0,0.0,0.0,0.0,0.0,0,0
1651430101553612603,0.0,0.0,0.0,0.0,0.0,0,0
1651430101563762920,0.0,0.0,0.0,0.0,0.0,0,0
1651430101573160807,0.0,0.0,0.0,0.0,0.0,0,0
1651430101583301891,0.0,0.0,0.0,0.0,0.0,0,0
1651430101593469860,0.0,0.0,0.0,0.0,0.0,0,0
1651430101603286848,0.0,0.0,0.0,0.0,0.0,0,0
1651430101613135755,0.0,0.0,0.0,0.0,0.0,0,0
1651430101625722892,0.0,0.0,0.0,0.0,0.0,0,0
1651430101633192874,0.0,0.0,0.0,0.0,0.0,0,0
1651430101644106544,0.0,0.0,0.0,0.0,0.0,0,0
1651430101655573081,0.0,0.0,0.0,0.0,0.0,0,0
1651430101666822814,0.0,0.0,0.0,0.0,0.0,0,0
1651430101673234406,0.0,0.0,0.0,0.0,0.0,0,0
1651430101683582665,0.0,0.0,0.0,0.0,0.0,0,0
1651430101693182540,0.0,0.0,0.0,0.0,0.0,0,0
1651430101703804539,0.0,0.0,0.0,0.0,0.0,0,0
1651430101714505273,0.0,0.0,0.0,0.0,0.0,0,0
1651430101724691512,0.0,0.0,0.0,0.0,0.0,0,0
1651430101734702989,0.0,0.0,0.0,0.0,0.0,0,0
1651430101743640974,0.0,0.0,0.0,0.0,0.0,0,0
1651430101753941433,0.0,0.0,0.0,0.0,0.0,0,0
1651430101764292689,0.0,0.0,0.0,0.0,0.0,0,0
1651430101774216211,0.0,0.0,0.0,0.0,0.0,0,0
1651430101783663149,0.0,0.0,0.0,0.0,0.0,0,0
1651430101793267563,0.0,0.0,0.0,0.0,0.0,0,0
1651430101804681356,0.0,0.0,0.0,0.0,0.0,0,0
1651430101813263423,0.0,0.0,0.0,0.0,0.0,0,0
1651430101823655369,0.0,0.0,0.0,0.0,0.0,0,0
1651430101833216684,0.0,0.0,0.0,0.0,0.0,0,0
