%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1651434026824074706,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026832225446,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026841634798,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026850104224,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026859823066,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026867056967,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026876571320,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026883529437,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026892785895,-0.05000000074505806,0.0,0.009999999776482582,0.0625,-0.1875,0.125,0.0,3.0,3.0,3.0,4.0
1651434026906513593,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
1651434026908321428,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
1651434026915133658,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
1651434026924543678,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
1651434026928616255,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
1651434026937358672,-0.009999999776482582,0.009999999776482582,0.03999999910593033,0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,25.0
