%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651434026825281201,0.0,0.0,0.0,0.0,0.0,0,0
1651434026840665150,0.0,0.0,0.0,0.0,0.0,0,0
1651434026846895916,0.0,0.0,0.0,0.0,0.0,0,0
1651434026859819269,0.0,0.0,0.0,0.0,0.0,0,0
1651434026866396309,0.0,0.0,0.0,0.0,0.0,0,0
1651434026875102771,0.0,0.0,0.0,0.0,0.0,0,0
1651434026885429624,0.0,0.0,0.0,0.0,0.0,0,0
1651434026898877725,0.0,0.0,0.0,0.0,0.0,0,0
1651434026906667647,0.0,0.0,0.0,0.0,0.0,0,0
1651434026915657823,0.0,0.0,0.0,0.0,0.0,0,0
1651434026925248647,0.0,0.0,0.0,0.0,0.0,0,0
1651434026936400365,0.0,0.0,0.0,0.0,0.0,0,0
1651434026944986107,0.0,0.0,0.0,0.0,0.0,0,0
1651434026955168360,0.0,0.0,0.0,0.0,0.0,0,0
1651434026965573362,0.0,0.0,0.0,0.0,0.0,0,0
1651434026982198269,0.0,0.0,0.0,0.0,0.0,0,0
1651434026989955029,0.0,0.0,0.0,0.0,0.0,0,0
1651434026995216881,0.0,0.0,0.0,0.0,0.0,0,0
1651434027005428337,0.0,0.0,0.0,0.0,0.0,0,0
1651434027016270344,0.0,0.0,0.0,0.0,0.0,0,0
1651434027037815783,0.0,0.0,0.0,0.0,0.0,0,0
1651434027038913321,0.0,0.0,0.0,0.0,0.0,0,0
1651434027047347492,0.0,0.0,0.0,0.0,0.0,0,0
1651434027056256773,0.0,0.0,0.0,0.0,0.0,0,0
1651434027065668733,0.0,0.0,0.0,0.0,0.0,0,0
1651434027080941240,0.0,0.0,0.0,0.0,0.0,0,0
1651434027088231992,0.0,0.0,0.0,0.0,0.0,0,0
1651434027097078042,0.0,0.0,0.0,0.0,0.0,0,0
1651434027105689422,0.0,0.0,0.0,0.0,0.0,0,0
1651434027115275953,0.0,0.0,0.0,0.0,0.0,0,0
1651434027125626776,0.0,0.0,0.0,0.0,0.0,0,0
1651434027135074638,0.0,0.0,0.0,0.0,0.0,0,0
1651434027145540590,0.0,0.0,0.0,0.0,0.0,0,0
1651434027154825865,0.0,0.0,0.0,0.0,0.0,0,0
1651434027164916390,0.0,0.0,0.0,0.0,0.0,0,0
1651434027177131389,0.0,0.0,0.0,0.0,0.0,0,0
1651434027185003255,0.0,0.0,0.0,0.0,0.0,0,0
1651434027195167646,0.0,0.0,0.0,0.0,0.0,0,0
1651434027204981144,0.0,0.0,0.0,0.0,0.0,0,0
1651434027215536357,0.0,0.0,0.0,0.0,0.0,0,0
1651434027225034231,0.0,0.0,0.0,0.0,0.0,0,0
1651434027235229814,0.0,0.0,0.0,0.0,0.0,0,0
1651434027244820793,0.0,0.0,0.0,0.0,0.0,0,0
1651434027254799228,0.0,0.0,0.0,0.0,0.0,0,0
1651434027265448097,0.0,0.0,0.0,0.0,0.0,0,0
1651434027275301772,0.0,0.0,0.0,0.0,0.0,0,0
1651434027284890012,0.0,0.0,0.0,0.0,0.0,0,0
1651434027295493609,0.0,0.0,0.0,0.0,0.0,0,0
1651434027307401903,0.0,0.0,0.0,0.0,0.0,0,0
1651434027315693047,0.0,0.0,0.0,0.0,0.0,0,0
1651434027325653068,0.0,0.0,0.0,0.0,0.0,0,0
1651434027334820565,0.0,0.0,0.0,0.0,0.0,0,0
1651434027345955321,0.0,0.0,0.0,0.0,0.0,0,0
1651434027355940900,0.0,0.0,0.0,0.0,0.0,0,0
1651434027364989013,0.0,0.0,0.0,0.0,0.0,0,0
1651434027375124560,0.0,0.0,0.0,0.0,0.0,0,0
1651434027385308563,0.0,0.0,0.0,0.0,0.0,0,0
1651434027395563697,0.0,0.0,0.0,0.0,0.0,0,0
1651434027405593065,0.0,0.0,0.0,0.0,0.0,0,0
1651434027415128188,0.0,0.0,0.0,0.0,0.0,0,0
1651434027424901376,0.0,0.0,0.0,0.0,0.0,0,0
1651434027435010040,0.0,0.0,0.0,0.0,0.0,0,0
1651434027449158886,0.0,0.0,0.0,0.0,0.0,0,0
1651434027455101386,0.0,0.0,0.0,0.0,0.0,0,0
1651434027465351027,0.0,0.0,0.0,0.0,0.0,0,0
1651434027474896627,0.0,0.0,0.0,0.0,0.0,0,0
1651434027485364099,0.0,0.0,0.0,0.0,0.0,0,0
1651434027495251052,0.0,0.0,0.0,0.0,0.0,0,0
