%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434026817101872,-0.023207735270261765,-0.002067113760858774,-0.07079412043094635,0.9998575448989868,-0.0008389930007979274,-0.00040422615711577237,0.016853060573339462,-0.0008336278260685503,0.00019976955081801862,0.00023798727488610893,0.0625,0.0625,-0.0625
1651434026817140212,-0.023212645202875137,-0.002066506538540125,-0.07079349458217621,0.999857485294342,-0.0008174257236532867,-0.0003932934196200222,0.01685773953795433,-0.0009841213468462229,0.0002238118031527847,0.00026605307357385755,0.0625,0.0625,-0.0625
1651434026817150587,-0.02321326732635498,-0.0020667253993451595,-0.07079382240772247,0.999857485294342,-0.0008128959452733397,-0.00039123339229263365,0.01685944013297558,-0.0010073559824377298,0.00021496608678717166,0.00025298705440945923,0.0625,0.0625,-0.0625
1651434026817152735,-0.023214956745505333,-0.002066624816507101,-0.0707937553524971,0.9998574256896973,-0.0008093753713183105,-0.00038942063110880554,0.0168601181358099,-0.0010505749378353357,0.00021855752856936306,0.0002565778559073806,0.0625,0.0625,-0.0625
1651434026823395333,-0.02321622520685196,-0.0020665586926043034,-0.07079371809959412,0.9998574256896973,-0.0008074770448729396,-0.0003884677716996521,0.016860559582710266,-0.0010774919064715505,0.0002204725460615009,0.00025848083896562457,0.0625,0.0625,-0.0625
1651434026825074389,-0.02321990393102169,-0.0020672616083174944,-0.07079453021287918,0.9998575448989868,-0.0008575328392907977,-0.0004205141740385443,0.016851756721735,-0.0011228027287870646,0.0001822109188651666,0.0002183265023631975,0.0625,0.1875,-0.125
1651434026825119783,-0.023219285532832146,-0.0020684520713984966,-0.0707959234714508,0.9998575448989868,-0.0008716656011529267,-0.0004307232447899878,0.016850408166646957,-0.0010801986791193485,0.00013125156692694873,0.0001592143962625414,0.0625,0.1875,-0.125
1651434026832445772,-0.023224228993058205,-0.0020690823439508677,-0.07079661637544632,0.9998576045036316,-0.0008831850718706846,-0.00043701817048713565,0.01684732362627983,-0.0011076588416472077,0.00011810793512267992,0.0001503684907220304,0.0625,0.1875,-0.125
1651434026832598594,-0.023223284631967545,-0.0020673375111073256,-0.07079529762268066,0.9998582601547241,-0.0009297204669564962,-0.0004152732144575566,0.016805818304419518,-0.001063296920619905,0.0001927296252688393,0.00020717157167382538,0.0625,0.1875,-0.125
1651434026834122084,-0.023224445059895515,-0.0020656180568039417,-0.07079387456178665,0.9998587369918823,-0.0009604471852071583,-0.0003989300748798996,0.016776693984866142,-0.0010630367323756218,0.0002660979807842523,0.00027179517201147974,0.0625,0.1875,-0.125
1651434026840659510,-0.023219669237732887,-0.002065385924652219,-0.07079480588436127,0.9998584985733032,-0.0007659338298253715,-0.0005061014089733362,0.01679656095802784,-0.000721930293366313,0.00025316441315226257,0.00022319341951515526,0.0625,0.1875,-0.125
1651434026840662185,-0.023212462663650513,-0.002066361950710416,-0.07079653441905975,0.9998584389686584,-0.0007281281286850572,-0.0005292792920954525,0.01680184341967106,-0.00042300496716052294,0.00021248951088637114,0.00015212263679131866,0.0625,0.1875,-0.125
