%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1651517609706864235,-0.03999999910593033,-0.10000000149011612,-0.17000000178813934,0.0,-0.125,0.0625,3.0,0.0,3.0,3.0,13.0
1651517609715074788,-0.05999999865889549,-0.10000000149011612,-0.17000000178813934,-0.125,-0.1875,0.0,3.0,0.0,3.0,3.0,14.0
1651517609729121484,-0.07000000029802322,-0.07000000029802322,-0.15000000596046448,0.0,0.0,0.0,3.0,0.0,3.0,3.0,15.0
1651517609743883110,-0.03999999910593033,-0.05999999865889549,-0.17000000178813934,0.0,0.0625,-0.0625,3.0,0.0,3.0,3.0,5.0
1651517609757927233,-0.05999999865889549,-0.07000000029802322,-0.18000000715255737,-0.0625,0.0,0.125,3.0,0.0,3.0,3.0,11.0
1651517609771882392,-0.07000000029802322,-0.10000000149011612,-0.18000000715255737,-0.0625,-0.1875,0.0625,3.0,0.0,3.0,3.0,14.0
1651517609786495173,-0.05999999865889549,-0.07000000029802322,-0.1599999964237213,-0.0625,0.125,0.0625,3.0,0.0,3.0,3.0,15.0
1651517609799956819,-0.07000000029802322,-0.05999999865889549,-0.17000000178813934,-0.0625,0.0,-0.0625,3.0,0.0,3.0,3.0,14.0
1651517609814343371,-0.05000000074505806,-0.07999999821186066,-0.1599999964237213,-0.0625,-0.0625,-0.125,3.0,0.0,3.0,3.0,6.0
1651517609828173081,-0.07000000029802322,-0.07000000029802322,-0.17000000178813934,-0.0625,-0.0625,-0.125,3.0,0.0,3.0,3.0,11.0
1651517609847170523,-0.05999999865889549,-0.09000000357627869,-0.20000000298023224,0.125,0.0,0.0625,3.0,0.0,3.0,3.0,13.0
1651517609857567771,-0.05000000074505806,-0.09000000357627869,-0.18000000715255737,-0.25,0.0,0.0,3.0,0.0,3.0,3.0,5.0
1651517609872051090,-0.05000000074505806,-0.07000000029802322,-0.1899999976158142,-0.0625,-0.125,-0.0625,3.0,0.0,3.0,3.0,11.0
1651517609886327709,-0.03999999910593033,-0.07999999821186066,-0.1899999976158142,0.0,0.125,0.0,3.0,0.0,3.0,3.0,14.0
1651517609900091096,-0.05000000074505806,-0.09000000357627869,-0.1599999964237213,0.0,0.0625,0.0625,3.0,0.0,3.0,3.0,15.0
1651517609904777865,-0.05999999865889549,-0.07000000029802322,-0.1599999964237213,0.0,0.0,0.25,3.0,0.0,3.0,3.0,12.0
1651517609920003877,-0.05999999865889549,-0.07000000029802322,-0.1599999964237213,0.0,0.0,0.25,3.0,0.0,3.0,3.0,7.0
1651517609933928205,-0.07000000029802322,-0.10999999940395355,-0.17000000178813934,0.0625,0.0625,0.0625,3.0,0.0,3.0,3.0,12.0
1651517609947561720,-0.05000000074505806,-0.07999999821186066,-0.18000000715255737,0.0,0.0625,-0.0625,3.0,0.0,3.0,3.0,14.0
1651517609960259600,-0.029999999329447746,-0.09000000357627869,-0.17000000178813934,0.0,0.0625,0.0625,3.0,0.0,3.0,3.0,15.0
1651517609975578100,-0.029999999329447746,-0.09000000357627869,-0.1599999964237213,0.0,-0.125,0.0625,3.0,0.0,3.0,3.0,15.0
1651517609988819791,-0.05000000074505806,-0.05999999865889549,-0.15000000596046448,0.0,0.0,0.125,3.0,0.0,3.0,3.0,14.0
