%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651517609693866374,0.0,0.0,0.0,0.0,0.0,0,0
1651517609695610474,0.0,0.0,0.0,0.0,0.0,0,0
1651517609697492441,0.0,0.0,0.0,0.0,0.0,0,0
1651517609698942897,0.0,0.0,0.0,0.0,0.0,0,0
1651517609701438270,0.0,0.0,0.0,0.0,0.0,0,0
1651517609704388123,0.0,0.0,0.0,0.0,0.0,0,0
1651517609704648155,0.0,0.0,0.0,0.0,0.0,0,0
1651517609709454751,0.0,0.0,0.0,0.0,0.0,0,0
1651517609709547763,0.0,0.0,0.0,0.0,0.0,0,0
1651517609710549601,0.0,0.0,0.0,0.0,0.0,0,0
1651517609713635364,0.0,0.0,0.0,0.0,0.0,0,0
1651517609716076998,0.0,0.0,0.0,0.0,0.0,0,0
1651517609717790897,0.0,0.0,0.0,0.0,0.0,0,0
1651517609718989679,0.0,0.0,0.0,0.0,0.0,0,0
1651517609722029823,0.0,0.0,0.0,0.0,0.0,0,0
1651517609724998993,0.0,0.0,0.0,0.0,0.0,0,0
1651517609725432062,0.0,0.0,0.0,0.0,0.0,0,0
1651517609728266913,0.0,0.0,0.0,0.0,0.0,0,0
1651517609731108349,0.0,0.0,0.0,0.0,0.0,0,0
1651517609731136070,0.0,0.0,0.0,0.0,0.0,0,0
1651517609732694519,0.0,0.0,0.0,0.0,0.0,0,0
1651517609736192050,0.0,0.0,0.0,0.0,0.0,0,0
1651517609738835967,0.0,0.0,0.0,0.0,0.0,0,0
1651517609738874088,0.0,0.0,0.0,0.0,0.0,0,0
1651517609742221369,0.0,0.0,0.0,0.0,0.0,0,0
1651517609743167551,0.0,0.0,0.0,0.0,0.0,0,0
1651517609745403684,0.0,0.0,0.0,0.0,0.0,0,0
1651517609746670930,0.0,0.0,0.0,0.0,0.0,0,0
1651517609748781872,0.0,0.0,0.0,0.0,0.0,0,0
1651517609760705960,0.0,0.0,0.0,0.0,0.0,0,0
1651517609760709747,0.0,0.0,0.0,0.0,0.0,0,0
1651517609760712272,0.0,0.0,0.0,0.0,0.0,0,0
1651517609760714466,0.0,0.0,0.0,0.0,0.0,0,0
1651517609760716169,0.0,0.0,0.0,0.0,0.0,0,0
1651517609762286037,0.0,0.0,0.0,0.0,0.0,0,0
1651517609763633593,0.0,0.0,0.0,0.0,0.0,0,0
1651517609765401107,0.0,0.0,0.0,0.0,0.0,0,0
1651517609766431617,0.0,0.0,0.0,0.0,0.0,0,0
1651517609769323093,0.0,0.0,0.0,0.0,0.0,0,0
1651517609771880368,0.0,0.0,0.0,0.0,0.0,0,0
1651517609773174898,0.0,0.0,0.0,0.0,0.0,0,0
1651517609776818056,0.0,0.0,0.0,0.0,0.0,0,0
1651517609777923193,0.0,0.0,0.0,0.0,0.0,0,0
1651517609778358708,0.0,0.0,0.0,0.0,0.0,0,0
1651517609781895338,0.0,0.0,0.0,0.0,0.0,0,0
1651517609783133431,0.0,0.0,0.0,0.0,0.0,0,0
1651517609785888434,0.0,0.0,0.0,0.0,0.0,0,0
1651517609789029167,0.0,0.0,0.0,0.0,0.0,0,0
1651517609789871568,0.0,0.0,0.0,0.0,0.0,0,0
1651517609791297974,0.0,0.0,0.0,0.0,0.0,0,0
1651517609793082159,0.0,0.0,0.0,0.0,0.0,0,0
1651517609795323566,0.0,0.0,0.0,0.0,0.0,0,0
1651517609796208341,0.0,0.0,0.0,0.0,0.0,0,0
1651517609798844357,0.0,0.0,0.0,0.0,0.0,0,0
1651517609801497442,0.0,0.0,0.0,0.0,0.0,0,0
1651517609802880265,0.0,0.0,0.0,0.0,0.0,0,0
1651517609804468990,0.0,0.0,0.0,0.0,0.0,0,0
1651517609807304157,0.0,0.0,0.0,0.0,0.0,0,0
1651517609808962372,0.0,0.0,0.0,0.0,0.0,0,0
1651517609811276879,0.0,0.0,0.0,0.0,0.0,0,0
1651517609819020052,0.0,0.0,0.0,0.0,0.0,0,0
1651517609819743158,0.0,0.0,0.0,0.0,0.0,0,0
1651517609819749813,0.0,0.0,0.0,0.0,0.0,0,0
1651517609826280932,0.0,0.0,0.0,0.0,0.0,0,0
1651517609826515486,0.0,0.0,0.0,0.0,0.0,0,0
1651517609826518391,0.0,0.0,0.0,0.0,0.0,0,0
1651517609826519894,0.0,0.0,0.0,0.0,0.0,0,0
1651517609827147001,0.0,0.0,0.0,0.0,0.0,0,0
1651517609829301725,0.0,0.0,0.0,0.0,0.0,0,0
1651517609831292212,0.0,0.0,0.0,0.0,0.0,0,0
1651517609833010221,0.0,0.0,0.0,0.0,0.0,0,0
1651517609835240372,0.0,0.0,0.0,0.0,0.0,0,0
1651517609837387488,0.0,0.0,0.0,0.0,0.0,0,0
1651517609839362420,0.0,0.0,0.0,0.0,0.0,0,0
1651517609840881534,0.0,0.0,0.0,0.0,0.0,0,0
1651517609843072793,0.0,0.0,0.0,0.0,0.0,0,0
1651517609850313776,0.0,0.0,0.0,0.0,0.0,0,0
1651517609852667344,0.0,0.0,0.0,0.0,0.0,0,0
1651517609852701908,0.0,0.0,0.0,0.0,0.0,0,0
1651517609852704282,0.0,0.0,0.0,0.0,0.0,0,0
1651517609853904397,0.0,0.0,0.0,0.0,0.0,0,0
1651517609855683506,0.0,0.0,0.0,0.0,0.0,0,0
1651517609857199759,0.0,0.0,0.0,0.0,0.0,0,0
1651517609859091874,0.0,0.0,0.0,0.0,0.0,0,0
1651517609860489780,0.0,0.0,0.0,0.0,0.0,0,0
1651517609863109195,0.0,0.0,0.0,0.0,0.0,0,0
1651517609865680865,0.0,0.0,0.0,0.0,0.0,0,0
1651517609867640774,0.0,0.0,0.0,0.0,0.0,0,0
1651517609869827639,0.0,0.0,0.0,0.0,0.0,0,0
1651517609871304926,0.0,0.0,0.0,0.0,0.0,0,0
1651517609873206157,0.0,0.0,0.0,0.0,0.0,0,0
1651517609875300275,0.0,0.0,0.0,0.0,0.0,0,0
1651517609878208352,0.0,0.0,0.0,0.0,0.0,0,0
1651517609879729499,0.0,0.0,0.0,0.0,0.0,0,0
1651517609881451060,0.0,0.0,0.0,0.0,0.0,0,0
1651517609883593507,0.0,0.0,0.0,0.0,0.0,0,0
1651517609886319574,0.0,0.0,0.0,0.0,0.0,0,0
1651517609887296717,0.0,0.0,0.0,0.0,0.0,0,0
1651517609889505088,0.0,0.0,0.0,0.0,0.0,0,0
1651517609891068640,0.0,0.0,0.0,0.0,0.0,0,0
1651517609892624226,0.0,0.0,0.0,0.0,0.0,0,0
1651517609895390740,0.0,0.0,0.0,0.0,0.0,0,0
1651517609896485322,0.0,0.0,0.0,0.0,0.0,0,0
1651517609899875747,0.0,0.0,0.0,0.0,0.0,0,0
1651517609900951477,0.0,0.0,0.0,0.0,0.0,0,0
1651517609903603219,0.0,0.0,0.0,0.0,0.0,0,0
