%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651517609691860660,0.0,0.0,0.0,0.0,0.0,0,0
1651517609701722511,0.0,0.0,0.0,0.0,0.0,0,0
1651517609712942659,0.0,0.0,0.0,0.0,0.0,0,0
1651517609723965246,0.0,0.0,0.0,0.0,0.0,0,0
1651517609732678960,0.0,0.0,0.0,0.0,0.0,0,0
1651517609741898903,0.0,0.0,0.0,0.0,0.0,0,0
1651517609752751675,0.0,0.0,0.0,0.0,0.0,0,0
1651517609762282811,0.0,0.0,0.0,0.0,0.0,0,0
1651517609771666041,0.0,0.0,0.0,0.0,0.0,0,0
1651517609781531506,0.0,0.0,0.0,0.0,0.0,0,0
1651517609791880934,0.0,0.0,0.0,0.0,0.0,0,0
1651517609802352107,0.0,0.0,0.0,0.0,0.0,0,0
1651517609811608534,0.0,0.0,0.0,0.0,0.0,0,0
1651517609821814369,0.0,0.0,0.0,0.0,0.0,0,0
1651517609831611834,0.0,0.0,0.0,0.0,0.0,0,0
1651517609841766964,0.0,0.0,0.0,0.0,0.0,0,0
1651517609853146389,0.0,0.0,0.0,0.0,0.0,0,0
1651517609861737195,0.0,0.0,0.0,0.0,0.0,0,0
1651517609872009402,0.0,0.0,0.0,0.0,0.0,0,0
1651517609881826470,0.0,0.0,0.0,0.0,0.0,0,0
1651517609891724377,0.0,0.0,0.0,0.0,0.0,0,0
1651517609901660120,0.0,0.0,0.0,0.0,0.0,0,0
1651517609911709574,0.0,0.0,0.0,0.0,0.0,0,0
1651517609921725147,0.0,0.0,0.0,0.0,0.0,0,0
1651517609931764222,0.0,0.0,0.0,0.0,0.0,0,0
1651517609941900607,0.0,0.0,0.0,0.0,0.0,0,0
1651517609951828113,0.0,0.0,0.0,0.0,0.0,0,0
1651517609961937957,0.0,0.0,0.0,0.0,0.0,0,0
1651517609974039440,0.0,0.0,0.0,0.0,0.0,0,0
1651517609981648324,0.0,0.0,0.0,0.0,0.0,0,0
1651517609992746103,0.0,0.0,0.0,0.0,0.0,0,0
1651517610002527398,0.0,0.0,0.0,0.0,0.0,0,0
1651517610011837841,0.0,0.0,0.0,0.0,0.0,0,0
1651517610021840173,0.0,0.0,0.0,0.0,0.0,0,0
1651517610032001301,0.0,0.0,0.0,0.0,0.0,0,0
1651517610042816137,0.0,0.0,0.0,0.0,0.0,0,0
1651517610051829431,0.0,0.0,0.0,0.0,0.0,0,0
1651517610062315688,0.0,0.0,0.0,0.0,0.0,0,0
1651517610071821550,0.0,0.0,0.0,0.0,0.0,0,0
1651517610082117041,0.0,0.0,0.0,0.0,0.0,0,0
1651517610091903230,0.0,0.0,0.0,0.0,0.0,0,0
1651517610101678090,0.0,0.0,0.0,0.0,0.0,0,0
1651517610111695928,0.0,0.0,0.0,0.0,0.0,0,0
1651517610121835278,0.0,0.0,0.0,0.0,0.0,0,0
1651517610131730461,0.0,0.0,0.0,0.0,0.0,0,0
1651517610141641272,0.0,0.0,0.0,0.0,0.0,0,0
1651517610151822016,0.0,0.0,0.0,0.0,0.0,0,0
1651517610161868566,0.0,0.0,0.0,0.0,0.0,0,0
1651517610171912576,0.0,0.0,0.0,0.0,0.0,0,0
1651517610181785882,0.0,0.0,0.0,0.0,0.0,0,0
1651517610192014664,0.0,0.0,0.0,0.0,0.0,0,0
1651517610201838587,0.0,0.0,0.0,0.0,0.0,0,0
1651517610212532694,0.0,0.0,0.0,0.0,0.0,0,0
1651517610222424968,0.0,0.0,0.0,0.0,0.0,0,0
1651517610232644430,0.0,0.0,0.0,0.0,0.0,0,0
1651517610241866507,0.0,0.0,0.0,0.0,0.0,0,0
1651517610252573256,0.0,0.0,0.0,0.0,0.0,0,0
1651517610261844695,0.0,0.0,0.0,0.0,0.0,0,0
1651517610271804701,0.0,0.0,0.0,0.0,0.0,0,0
1651517610288128259,0.0,0.0,0.0,0.0,0.0,0,0
1651517610293488243,0.0,0.0,0.0,0.0,0.0,0,0
1651517610301811364,0.0,0.0,0.0,0.0,0.0,0,0
