%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1651520733500824672,-0.09000000357627869,-0.019999999552965164,-0.05000000074505806,0.0625,0.0,-0.0625,0.0,3.0,3.0,3.0,14.0
1651520733515081161,-0.09000000357627869,-0.019999999552965164,-0.05000000074505806,-0.0625,-0.0625,0.0,0.0,3.0,3.0,3.0,5.0
1651520733531854345,-0.09000000357627869,-0.019999999552965164,-0.07000000029802322,0.125,0.0,0.0625,0.0,3.0,3.0,3.0,11.0
1651520733555713363,-0.09000000357627869,-0.009999999776482582,-0.05000000074505806,-0.125,0.0,0.0,0.0,3.0,3.0,3.0,11.0
1651520733569992908,-0.10000000149011612,-0.019999999552965164,-0.05000000074505806,0.0,0.1875,0.1875,0.0,3.0,3.0,3.0,11.0
1651520733585564429,-0.09000000357627869,-0.009999999776482582,-0.03999999910593033,0.0,0.0625,0.0625,0.0,3.0,3.0,3.0,3.0
1651520733598500994,-0.09000000357627869,-0.029999999329447746,-0.029999999329447746,-0.0625,-0.0625,-0.0625,0.0,3.0,3.0,3.0,14.0
1651520733605034156,-0.10999999940395355,-0.009999999776482582,-0.05000000074505806,0.125,0.0,0.1875,0.0,3.0,3.0,3.0,12.0
1651520733616609541,-0.10999999940395355,-0.009999999776482582,-0.05000000074505806,0.125,0.0,0.1875,0.0,3.0,3.0,3.0,6.0
1651520733631169714,-0.09000000357627869,-0.019999999552965164,-0.05000000074505806,0.0,-0.0625,-0.0625,0.0,3.0,3.0,3.0,13.0
1651520733646897937,-0.10000000149011612,-0.03999999910593033,-0.019999999552965164,-0.0625,0.0625,0.0625,0.0,3.0,3.0,3.0,6.0
1651520733660255698,-0.09000000357627869,-0.019999999552965164,-0.03999999910593033,0.0,-0.125,-0.1875,0.0,3.0,3.0,3.0,11.0
1651520733674398914,-0.09000000357627869,-0.019999999552965164,-0.05999999865889549,-0.0625,0.0625,0.0625,0.0,3.0,3.0,3.0,5.0
1651520733689659136,-0.07000000029802322,-0.009999999776482582,-0.029999999329447746,0.0,-0.0625,0.0,0.0,3.0,3.0,3.0,11.0
1651520733702542643,-0.10999999940395355,-0.009999999776482582,-0.05000000074505806,-0.0625,0.0,0.0,0.0,3.0,3.0,3.0,14.0
1651520733717642284,-0.09000000357627869,-0.019999999552965164,-0.07000000029802322,0.125,-0.0625,-0.125,0.0,3.0,3.0,3.0,15.0
1651520733730465652,-0.09000000357627869,-0.019999999552965164,-0.03999999910593033,0.0625,-0.125,0.0,0.0,3.0,3.0,3.0,14.0
1651520733736090417,-0.09000000357627869,-0.019999999552965164,-0.03999999910593033,0.0,-0.0625,0.0,0.0,3.0,3.0,3.0,12.0
1651520733752403616,-0.09000000357627869,-0.019999999552965164,-0.03999999910593033,0.0,-0.0625,0.0,0.0,3.0,3.0,3.0,7.0
1651520733762109072,-0.09000000357627869,-0.03999999910593033,-0.07999999821186066,0.0,-0.0625,0.0625,0.0,3.0,3.0,3.0,11.0
1651520733776958806,-0.10000000149011612,-0.029999999329447746,-0.05999999865889549,-0.0625,0.0625,0.1875,0.0,3.0,3.0,3.0,15.0
1651520733790253807,-0.10999999940395355,-0.029999999329447746,-0.03999999910593033,0.125,-0.375,0.0625,0.0,3.0,3.0,3.0,14.0
1651520733795411359,-0.07000000029802322,-0.029999999329447746,-0.03999999910593033,0.0,-0.125,0.0,0.0,3.0,3.0,3.0,13.0
1651520733807628562,-0.07000000029802322,-0.029999999329447746,-0.03999999910593033,0.0,-0.125,0.0,0.0,3.0,3.0,3.0,6.0
1651520733821912189,-0.09000000357627869,-0.009999999776482582,-0.05000000074505806,0.125,-0.125,0.0625,0.0,3.0,3.0,3.0,13.0
1651520733827461194,-0.09000000357627869,-0.029999999329447746,-0.029999999329447746,0.0,-0.0625,0.0,0.0,3.0,3.0,3.0,12.0
1651520733839194283,-0.09000000357627869,-0.029999999329447746,-0.029999999329447746,0.0,-0.0625,0.0,0.0,3.0,3.0,3.0,6.0
1651520733853709594,-0.10999999940395355,-0.019999999552965164,-0.03999999910593033,-0.0625,-0.125,0.0,0.0,3.0,3.0,3.0,13.0
1651520733867874341,-0.10000000149011612,-0.019999999552965164,-0.05000000074505806,-0.0625,0.125,0.0,0.0,3.0,3.0,3.0,14.0
