%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651520733497214190,0.0,0.0,0.0,0.0,0.0,0,0
1651520733506895417,0.0,0.0,0.0,0.0,0.0,0,0
1651520733516858518,0.0,0.0,0.0,0.0,0.0,0,0
1651520733526644343,0.0,0.0,0.0,0.0,0.0,0,0
1651520733536826051,0.0,0.0,0.0,0.0,0.0,0,0
1651520733546789127,0.0,0.0,0.0,0.0,0.0,0,0
1651520733556730489,0.0,0.0,0.0,0.0,0.0,0,0
1651520733566865489,0.0,0.0,0.0,0.0,0.0,0,0
1651520733577662969,0.0,0.0,0.0,0.0,0.0,0,0
1651520733587752667,0.0,0.0,0.0,0.0,0.0,0,0
1651520733597415575,0.0,0.0,0.0,0.0,0.0,0,0
1651520733607593946,0.0,0.0,0.0,0.0,0.0,0,0
1651520733617306772,0.0,0.0,0.0,0.0,0.0,0,0
1651520733627185516,0.0,0.0,0.0,0.0,0.0,0,0
1651520733637245283,0.0,0.0,0.0,0.0,0.0,0,0
1651520733646906694,0.0,0.0,0.0,0.0,0.0,0,0
1651520733657221000,0.0,0.0,0.0,0.0,0.0,0,0
1651520733666735088,0.0,0.0,0.0,0.0,0.0,0,0
1651520733677529569,0.0,0.0,0.0,0.0,0.0,0,0
1651520733686910157,0.0,0.0,0.0,0.0,0.0,0,0
1651520733697120704,0.0,0.0,0.0,0.0,0.0,0,0
1651520733707289629,0.0,0.0,0.0,0.0,0.0,0,0
1651520733716907774,0.0,0.0,0.0,0.0,0.0,0,0
1651520733729340929,0.0,0.0,0.0,0.0,0.0,0,0
1651520733738076004,0.0,0.0,0.0,0.0,0.0,0,0
1651520733752400951,0.0,0.0,0.0,0.0,0.0,0,0
1651520733757295907,0.0,0.0,0.0,0.0,0.0,0,0
1651520733767880940,0.0,0.0,0.0,0.0,0.0,0,0
1651520733776962332,0.0,0.0,0.0,0.0,0.0,0,0
1651520733786791197,0.0,0.0,0.0,0.0,0.0,0,0
1651520733796570235,0.0,0.0,0.0,0.0,0.0,0,0
1651520733806817219,0.0,0.0,0.0,0.0,0.0,0,0
1651520733816803446,0.0,0.0,0.0,0.0,0.0,0,0
1651520733827463999,0.0,0.0,0.0,0.0,0.0,0,0
1651520733837237226,0.0,0.0,0.0,0.0,0.0,0,0
1651520733847617372,0.0,0.0,0.0,0.0,0.0,0,0
1651520733857148560,0.0,0.0,0.0,0.0,0.0,0,0
