%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1651618857617757989,-0.07000000029802322,-0.029999999329447746,-0.07000000029802322,0.0,-0.1875,0.0625,3.0,3.0,3.0,3.0,14.0
1651618857630570861,-0.07000000029802322,-0.009999999776482582,-0.05000000074505806,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,15.0
1651618857644847413,-0.07000000029802322,0.0,-0.07000000029802322,0.0,-0.125,0.0,3.0,3.0,3.0,3.0,4.0
1651618857663611252,-0.07000000029802322,-0.05000000074505806,-0.07000000029802322,-0.0625,-0.1875,0.0,3.0,3.0,3.0,3.0,4.0
1651618857673307180,-0.07999999821186066,-0.009999999776482582,-0.07000000029802322,-0.0625,-0.1875,0.0625,3.0,3.0,3.0,3.0,11.0
1651618857690652956,-0.07999999821186066,-0.019999999552965164,-0.07999999821186066,-0.0625,-0.0625,-0.0625,3.0,3.0,3.0,3.0,16.0
1651618857701877003,-0.07999999821186066,-0.019999999552965164,-0.09000000357627869,0.0,0.0,0.0,3.0,3.0,3.0,3.0,13.0
1651618857715857363,-0.07000000029802322,-0.019999999552965164,-0.05999999865889549,0.0,0.1875,0.0,3.0,3.0,3.0,3.0,5.0
1651618857728784162,-0.05999999865889549,-0.029999999329447746,-0.029999999329447746,-0.125,0.0,-0.0625,3.0,3.0,3.0,3.0,12.0
1651618857744559113,-0.05000000074505806,0.0,-0.07000000029802322,-0.0625,-0.0625,0.0625,3.0,3.0,3.0,3.0,12.0
1651618857761902718,-0.05999999865889549,-0.03999999910593033,-0.05999999865889549,0.0,0.125,0.0625,3.0,3.0,3.0,3.0,4.0
1651618857770925891,-0.07999999821186066,-0.029999999329447746,-0.09000000357627869,-0.125,-0.125,-0.0625,3.0,3.0,3.0,3.0,11.0
1651618857779841382,-0.07000000029802322,0.0,-0.10000000149011612,0.0,-0.1875,-0.125,3.0,3.0,3.0,3.0,12.0
1651618857789404534,-0.07000000029802322,0.0,-0.10000000149011612,0.0,-0.1875,-0.125,3.0,3.0,3.0,3.0,6.0
1651618857801548004,-0.05999999865889549,0.019999999552965164,-0.07999999821186066,-0.0625,-0.1875,0.0625,3.0,3.0,3.0,3.0,13.0
1651618857805903392,-0.05999999865889549,-0.009999999776482582,-0.05999999865889549,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,12.0
1651618857819257445,-0.05999999865889549,-0.009999999776482582,-0.05999999865889549,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,7.0
1651618857832858374,-0.10000000149011612,-0.019999999552965164,-0.10000000149011612,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,11.0
1651618857854512404,-0.09000000357627869,-0.019999999552965164,-0.10000000149011612,0.0,-0.125,0.0,3.0,3.0,3.0,3.0,14.0
1651618857871718013,-0.07999999821186066,-0.019999999552965164,-0.05000000074505806,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,13.0
1651618857879348945,-0.05000000074505806,-0.019999999552965164,-0.10000000149011612,-0.0625,0.0,0.0,3.0,3.0,3.0,3.0,11.0
1651618857888859940,-0.05000000074505806,-0.019999999552965164,-0.10000000149011612,-0.0625,0.0,0.0,3.0,3.0,3.0,3.0,7.0
1651618857904794938,-0.07000000029802322,-0.019999999552965164,-0.07000000029802322,-0.125,0.125,0.0,3.0,3.0,3.0,3.0,11.0
1651618857916926204,-0.07999999821186066,-0.009999999776482582,-0.07999999821186066,0.125,-0.0625,0.0625,3.0,3.0,3.0,3.0,14.0
1651618857931159310,-0.07000000029802322,-0.009999999776482582,-0.09000000357627869,0.125,0.0,0.125,3.0,3.0,3.0,3.0,15.0
1651618857945297714,-0.07000000029802322,-0.019999999552965164,-0.09000000357627869,-0.0625,0.125,0.0625,3.0,3.0,3.0,3.0,5.0
1651618857959947746,-0.07000000029802322,-0.019999999552965164,-0.09000000357627869,0.0,0.0625,-0.0625,3.0,3.0,3.0,3.0,4.0
1651618857977934006,-0.07000000029802322,0.0,-0.07000000029802322,-0.0625,0.0,0.0625,3.0,3.0,3.0,3.0,12.0
1651618857987274444,-0.07999999821186066,-0.019999999552965164,-0.10000000149011612,0.0,0.125,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858004137585,-0.07000000029802322,-0.019999999552965164,-0.10999999940395355,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858016130873,-0.05999999865889549,-0.019999999552965164,-0.07000000029802322,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,5.0
1651618858031769534,-0.05999999865889549,0.0,-0.05999999865889549,-0.0625,0.1875,0.0,3.0,3.0,3.0,3.0,12.0
1651618858044698433,-0.07000000029802322,-0.009999999776482582,-0.09000000357627869,-0.125,0.0625,0.0,3.0,3.0,3.0,3.0,12.0
1651618858058525489,-0.09000000357627869,0.0,-0.05999999865889549,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,4.0
1651618858076468856,-0.07000000029802322,0.0,-0.05999999865889549,-0.0625,0.125,-0.1875,3.0,3.0,3.0,3.0,12.0
1651618858086602222,-0.05999999865889549,-0.019999999552965164,-0.07999999821186066,0.0625,0.25,0.0625,3.0,3.0,3.0,3.0,5.0
1651618858106380275,-0.07999999821186066,-0.009999999776482582,-0.07999999821186066,0.0625,-0.1875,0.125,3.0,3.0,3.0,3.0,12.0
1651618858116342984,-0.05999999865889549,0.0,-0.07999999821186066,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,11.0
1651618858131202768,-0.05000000074505806,-0.019999999552965164,-0.05999999865889549,0.0,0.25,-0.0625,3.0,3.0,3.0,3.0,15.0
1651618858148126352,-0.07999999821186066,-0.019999999552965164,-0.09000000357627869,-0.125,-0.0625,0.125,3.0,3.0,3.0,3.0,14.0
1651618858148742480,-0.07000000029802322,0.0,-0.05999999865889549,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,12.0
1651618858160733710,-0.07000000029802322,0.0,-0.05999999865889549,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,4.0
1651618858175924015,-0.10000000149011612,0.0,-0.07000000029802322,-0.125,0.1875,0.0,3.0,3.0,3.0,3.0,11.0
1651618858187948320,-0.07000000029802322,-0.019999999552965164,-0.07000000029802322,0.0,-0.125,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858203995506,-0.07999999821186066,-0.009999999776482582,-0.05000000074505806,0.0,0.0,0.0,3.0,3.0,3.0,3.0,15.0
1651618858215295074,-0.07000000029802322,-0.029999999329447746,-0.029999999329447746,0.0,-0.125,-0.125,3.0,3.0,3.0,3.0,12.0
1651618858229662779,-0.07000000029802322,-0.019999999552965164,-0.07000000029802322,-0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,15.0
1651618858243150587,-0.09000000357627869,0.0,-0.10999999940395355,-0.0625,-0.125,-0.0625,3.0,3.0,3.0,3.0,14.0
1651618858257685537,-0.05999999865889549,-0.019999999552965164,-0.05999999865889549,0.0,0.0,0.125,3.0,3.0,3.0,3.0,3.0
1651618858274331877,-0.07000000029802322,-0.029999999329447746,-0.09000000357627869,-0.0625,-0.125,0.0,3.0,3.0,3.0,3.0,14.0
1651618858302044783,-0.07999999821186066,0.0,-0.07000000029802322,-0.125,0.125,0.0,3.0,3.0,3.0,3.0,12.0
1651618858310223551,-0.07000000029802322,0.0,-0.05000000074505806,0.0,-0.1875,-0.125,3.0,3.0,3.0,3.0,13.0
1651618858327976758,-0.09000000357627869,0.0,-0.07000000029802322,-0.0625,-0.125,0.0625,3.0,3.0,3.0,3.0,11.0
1651618858338995473,-0.07000000029802322,-0.019999999552965164,-0.10000000149011612,0.0625,0.125,0.0,3.0,3.0,3.0,3.0,14.0
1651618858352267639,-0.07999999821186066,-0.019999999552965164,-0.07000000029802322,-0.125,0.0625,0.0,3.0,3.0,3.0,3.0,16.0
1651618858365306910,-0.07999999821186066,-0.029999999329447746,-0.05999999865889549,-0.125,0.0625,-0.0625,3.0,3.0,3.0,3.0,13.0
1651618858384454062,-0.07000000029802322,-0.009999999776482582,-0.05999999865889549,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858394081262,-0.07999999821186066,-0.019999999552965164,-0.07999999821186066,0.125,0.25,0.0625,3.0,3.0,3.0,3.0,13.0
1651618858411718464,-0.07999999821186066,0.0,-0.07999999821186066,0.125,0.1875,0.0625,3.0,3.0,3.0,3.0,3.0
1651618858422120130,-0.05999999865889549,-0.019999999552965164,-0.07999999821186066,-0.1875,-0.125,0.0,3.0,3.0,3.0,3.0,13.0
1651618858437392116,-0.07000000029802322,-0.009999999776482582,-0.09000000357627869,0.0625,0.0,-0.125,3.0,3.0,3.0,3.0,13.0
1651618858449527345,-0.07000000029802322,-0.019999999552965164,-0.05000000074505806,0.0,0.0,0.0,3.0,3.0,3.0,3.0,14.0
1651618858462874976,-0.07999999821186066,-0.009999999776482582,-0.07000000029802322,0.125,0.0,-0.0625,3.0,3.0,3.0,3.0,14.0
1651618858481516474,-0.05999999865889549,-0.019999999552965164,-0.09000000357627869,0.125,0.125,0.0625,3.0,3.0,3.0,3.0,6.0
1651618858490777176,-0.07999999821186066,-0.019999999552965164,-0.09000000357627869,0.0,-0.0625,0.0625,3.0,3.0,3.0,3.0,11.0
1651618858512120136,-0.07000000029802322,-0.029999999329447746,-0.07999999821186066,-0.125,0.0,0.0,3.0,3.0,3.0,3.0,13.0
1651618858521018750,-0.07999999821186066,-0.009999999776482582,-0.07000000029802322,-0.125,0.0625,-0.0625,3.0,3.0,3.0,3.0,14.0
1651618858535151746,-0.07000000029802322,-0.029999999329447746,-0.05999999865889549,-0.0625,0.0625,0.0,3.0,3.0,3.0,3.0,14.0
1651618858547215859,-0.07000000029802322,-0.029999999329447746,-0.10000000149011612,0.125,-0.1875,0.0625,3.0,3.0,3.0,3.0,5.0
1651618858550953111,-0.07000000029802322,0.0,-0.07999999821186066,0.0,0.0625,0.0625,3.0,3.0,3.0,3.0,10.0
1651618858565352384,-0.09000000357627869,-0.009999999776482582,-0.05999999865889549,0.0,0.0625,0.0625,3.0,3.0,3.0,3.0,5.0
1651618858580963457,-0.07000000029802322,-0.03999999910593033,-0.07999999821186066,0.0,0.125,0.0625,3.0,3.0,3.0,3.0,13.0
1651618858591906061,-0.10999999940395355,-0.009999999776482582,-0.07999999821186066,0.0,0.0,0.0,3.0,3.0,3.0,3.0,15.0
1651618858609199118,-0.07000000029802322,-0.009999999776482582,-0.05999999865889549,-0.125,0.125,0.0,3.0,3.0,3.0,3.0,13.0
1651618858620549345,-0.09000000357627869,-0.029999999329447746,-0.05000000074505806,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858634926895,-0.09000000357627869,-0.03999999910593033,-0.07999999821186066,0.125,0.125,-0.125,3.0,3.0,3.0,3.0,14.0
1651618858648645105,-0.07999999821186066,-0.019999999552965164,-0.05000000074505806,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,5.0
1651618858662056453,-0.07000000029802322,-0.019999999552965164,-0.07000000029802322,0.0625,0.0625,0.0,3.0,3.0,3.0,3.0,10.0
1651618858676992724,-0.07000000029802322,0.0,-0.05999999865889549,0.0,0.125,0.0625,3.0,3.0,3.0,3.0,14.0
1651618858690592103,-0.07000000029802322,-0.009999999776482582,-0.07000000029802322,-0.0625,0.0,-0.0625,3.0,3.0,3.0,3.0,14.0
1651618858706372314,-0.07000000029802322,-0.009999999776482582,-0.09000000357627869,0.0625,0.25,0.0625,3.0,3.0,3.0,3.0,15.0
1651618858718833111,-0.07999999821186066,-0.009999999776482582,-0.03999999910593033,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,6.0
1651618858735316926,-0.07000000029802322,-0.009999999776482582,-0.05000000074505806,-0.0625,0.1875,0.0,3.0,3.0,3.0,3.0,11.0
1651618858745982245,-0.05999999865889549,-0.009999999776482582,-0.09000000357627869,-0.0625,-0.0625,0.0625,3.0,3.0,3.0,3.0,12.0
1651618858761902989,-0.07999999821186066,-0.019999999552965164,-0.07999999821186066,0.0,0.0625,0.0625,3.0,3.0,3.0,3.0,3.0
1651618858775435210,-0.07000000029802322,-0.029999999329447746,-0.07000000029802322,-0.0625,0.1875,0.0,3.0,3.0,3.0,3.0,12.0
1651618858788768489,-0.10000000149011612,0.0,-0.10000000149011612,-0.0625,-0.0625,0.0,3.0,3.0,3.0,3.0,5.0
1651618858805589066,-0.05999999865889549,-0.019999999552965164,-0.07999999821186066,-0.0625,0.0,0.0,3.0,3.0,3.0,3.0,12.0
1651618858820840579,-0.07000000029802322,0.0,-0.05999999865889549,0.0,0.0625,0.0,3.0,3.0,3.0,3.0,12.0
1651618858833263619,-0.09000000357627869,-0.03999999910593033,-0.07999999821186066,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,15.0
1651618858845800287,-0.05999999865889549,-0.009999999776482582,-0.07000000029802322,0.0625,-0.1875,0.0625,3.0,3.0,3.0,3.0,13.0
1651618858851938324,-0.07999999821186066,-0.019999999552965164,-0.07000000029802322,0.25,-0.1875,0.0,3.0,3.0,3.0,3.0,12.0
1651618858861079277,-0.07999999821186066,-0.019999999552965164,-0.07000000029802322,0.25,-0.1875,0.0,3.0,3.0,3.0,3.0,4.0
1651618858875728712,-0.07999999821186066,-0.009999999776482582,-0.05999999865889549,-0.125,-0.25,-0.125,3.0,3.0,3.0,3.0,15.0
1651618858889584471,-0.05999999865889549,-0.009999999776482582,-0.07000000029802322,0.0625,-0.1875,0.0625,3.0,3.0,3.0,3.0,6.0
1651618858904849834,-0.07999999821186066,-0.019999999552965164,-0.07999999821186066,0.0,0.0625,0.0625,3.0,3.0,3.0,3.0,11.0
1651618858922816861,-0.07999999821186066,-0.029999999329447746,-0.07000000029802322,0.0625,0.0,0.0,3.0,3.0,3.0,3.0,4.0
1651618858931535432,-0.07000000029802322,-0.009999999776482582,-0.07000000029802322,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,13.0
1651618858950867516,-0.07000000029802322,-0.029999999329447746,-0.07999999821186066,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,12.0
1651618858972892941,-0.07000000029802322,-0.029999999329447746,-0.05999999865889549,0.1875,0.0,0.0625,3.0,3.0,3.0,3.0,13.0
1651618858985985814,-0.05999999865889549,-0.029999999329447746,-0.07999999821186066,0.125,-0.125,0.125,3.0,3.0,3.0,3.0,11.0
1651618859003897630,-0.05999999865889549,-0.009999999776482582,-0.07999999821186066,0.0,-0.125,0.0625,3.0,3.0,3.0,3.0,5.0
1651618859014681501,-0.07999999821186066,-0.019999999552965164,-0.05000000074505806,0.1875,0.0,0.0,3.0,3.0,3.0,3.0,3.0
1651618859030912024,-0.07000000029802322,-0.05000000074505806,-0.07000000029802322,0.125,-0.125,0.0625,3.0,3.0,3.0,3.0,5.0
1651618859042843486,-0.07999999821186066,0.0,-0.11999999731779099,0.0625,-0.125,0.0625,3.0,3.0,3.0,3.0,11.0
