%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651618857607278278,0.0,0.0,0.0,0.0,0.0,0,0
1651618857617769370,0.0,0.0,0.0,0.0,0.0,0,0
1651618857627241509,0.0,0.0,0.0,0.0,0.0,0,0
1651618857637099795,0.0,0.0,0.0,0.0,0.0,0,0
1651618857647276482,0.0,0.0,0.0,0.0,0.0,0,0
1651618857657082743,0.0,0.0,0.0,0.0,0.0,0,0
1651618857668089958,0.0,0.0,0.0,0.0,0.0,0,0
1651618857677075301,0.0,0.0,0.0,0.0,0.0,0,0
1651618857686962594,0.0,0.0,0.0,0.0,0.0,0,0
1651618857697811427,0.0,0.0,0.0,0.0,0.0,0,0
1651618857707173497,0.0,0.0,0.0,0.0,0.0,0,0
1651618857717130521,0.0,0.0,0.0,0.0,0.0,0,0
1651618857727356779,0.0,0.0,0.0,0.0,0.0,0,0
1651618857737285197,0.0,0.0,0.0,0.0,0.0,0,0
1651618857747202122,0.0,0.0,0.0,0.0,0.0,0,0
1651618857757010676,0.0,0.0,0.0,0.0,0.0,0,0
1651618857767005653,0.0,0.0,0.0,0.0,0.0,0,0
1651618857777058094,0.0,0.0,0.0,0.0,0.0,0,0
1651618857787220762,0.0,0.0,0.0,0.0,0.0,0,0
1651618857797109888,0.0,0.0,0.0,0.0,0.0,0,0
1651618857807305814,0.0,0.0,0.0,0.0,0.0,0,0
1651618857817334620,0.0,0.0,0.0,0.0,0.0,0,0
1651618857827025690,0.0,0.0,0.0,0.0,0.0,0,0
1651618857836952879,0.0,0.0,0.0,0.0,0.0,0,0
1651618857846919607,0.0,0.0,0.0,0.0,0.0,0,0
1651618857856903147,0.0,0.0,0.0,0.0,0.0,0,0
1651618857867010628,0.0,0.0,0.0,0.0,0.0,0,0
1651618857877445791,0.0,0.0,0.0,0.0,0.0,0,0
1651618857887121608,0.0,0.0,0.0,0.0,0.0,0,0
1651618857897255565,0.0,0.0,0.0,0.0,0.0,0,0
1651618857906959373,0.0,0.0,0.0,0.0,0.0,0,0
1651618857917435807,0.0,0.0,0.0,0.0,0.0,0,0
1651618857927158434,0.0,0.0,0.0,0.0,0.0,0,0
1651618857936994099,0.0,0.0,0.0,0.0,0.0,0,0
1651618857947159509,0.0,0.0,0.0,0.0,0.0,0,0
1651618857957120997,0.0,0.0,0.0,0.0,0.0,0,0
1651618857966869682,0.0,0.0,0.0,0.0,0.0,0,0
1651618857976994467,0.0,0.0,0.0,0.0,0.0,0,0
1651618857987132692,0.0,0.0,0.0,0.0,0.0,0,0
1651618857997301012,0.0,0.0,0.0,0.0,0.0,0,0
1651618858007203280,0.0,0.0,0.0,0.0,0.0,0,0
1651618858017491878,0.0,0.0,0.0,0.0,0.0,0,0
1651618858027244374,0.0,0.0,0.0,0.0,0.0,0,0
1651618858037128404,0.0,0.0,0.0,0.0,0.0,0,0
1651618858047086265,0.0,0.0,0.0,0.0,0.0,0,0
1651618858056928067,0.0,0.0,0.0,0.0,0.0,0,0
1651618858067332949,0.0,0.0,0.0,0.0,0.0,0,0
1651618858077320269,0.0,0.0,0.0,0.0,0.0,0,0
1651618858088325346,0.0,0.0,0.0,0.0,0.0,0,0
1651618858098007207,0.0,0.0,0.0,0.0,0.0,0,0
1651618858107479334,0.0,0.0,0.0,0.0,0.0,0,0
1651618858117626316,0.0,0.0,0.0,0.0,0.0,0,0
1651618858127667511,0.0,0.0,0.0,0.0,0.0,0,0
1651618858147211170,0.0,0.0,0.0,0.0,0.0,0,0
1651618858147234273,0.0,0.0,0.0,0.0,0.0,0,0
1651618858156985943,0.0,0.0,0.0,0.0,0.0,0,0
1651618858169873154,0.0,0.0,0.0,0.0,0.0,0,0
1651618858178013235,0.0,0.0,0.0,0.0,0.0,0,0
1651618858187953038,0.0,0.0,0.0,0.0,0.0,0,0
1651618858197489235,0.0,0.0,0.0,0.0,0.0,0,0
1651618858206969583,0.0,0.0,0.0,0.0,0.0,0,0
1651618858218030196,0.0,0.0,0.0,0.0,0.0,0,0
1651618858228598497,0.0,0.0,0.0,0.0,0.0,0,0
1651618858237385614,0.0,0.0,0.0,0.0,0.0,0,0
1651618858247044638,0.0,0.0,0.0,0.0,0.0,0,0
1651618858257682481,0.0,0.0,0.0,0.0,0.0,0,0
1651618858267679430,0.0,0.0,0.0,0.0,0.0,0,0
1651618858278077709,0.0,0.0,0.0,0.0,0.0,0,0
1651618858287375739,0.0,0.0,0.0,0.0,0.0,0,0
1651618858297275871,0.0,0.0,0.0,0.0,0.0,0,0
1651618858307386975,0.0,0.0,0.0,0.0,0.0,0,0
1651618858317311704,0.0,0.0,0.0,0.0,0.0,0,0
1651618858327250556,0.0,0.0,0.0,0.0,0.0,0,0
1651618858337436191,0.0,0.0,0.0,0.0,0.0,0,0
1651618858347192311,0.0,0.0,0.0,0.0,0.0,0,0
1651618858357223141,0.0,0.0,0.0,0.0,0.0,0,0
1651618858367130540,0.0,0.0,0.0,0.0,0.0,0,0
1651618858377488946,0.0,0.0,0.0,0.0,0.0,0,0
1651618858387005923,0.0,0.0,0.0,0.0,0.0,0,0
1651618858397062211,0.0,0.0,0.0,0.0,0.0,0,0
1651618858407376185,0.0,0.0,0.0,0.0,0.0,0,0
1651618858416984770,0.0,0.0,0.0,0.0,0.0,0,0
1651618858427033665,0.0,0.0,0.0,0.0,0.0,0,0
1651618858438427239,0.0,0.0,0.0,0.0,0.0,0,0
1651618858448132383,0.0,0.0,0.0,0.0,0.0,0,0
1651618858458289352,0.0,0.0,0.0,0.0,0.0,0,0
1651618858467839685,0.0,0.0,0.0,0.0,0.0,0,0
1651618858477154142,0.0,0.0,0.0,0.0,0.0,0,0
1651618858487347418,0.0,0.0,0.0,0.0,0.0,0,0
1651618858496779728,0.0,0.0,0.0,0.0,0.0,0,0
1651618858507155472,0.0,0.0,0.0,0.0,0.0,0,0
1651618858516971216,0.0,0.0,0.0,0.0,0.0,0,0
1651618858527260553,0.0,0.0,0.0,0.0,0.0,0,0
1651618858537337355,0.0,0.0,0.0,0.0,0.0,0,0
1651618858547210359,0.0,0.0,0.0,0.0,0.0,0,0
1651618858556979131,0.0,0.0,0.0,0.0,0.0,0,0
1651618858567087550,0.0,0.0,0.0,0.0,0.0,0,0
1651618858576945562,0.0,0.0,0.0,0.0,0.0,0,0
1651618858587227637,0.0,0.0,0.0,0.0,0.0,0,0
1651618858600018386,0.0,0.0,0.0,0.0,0.0,0,0
1651618858609475058,0.0,0.0,0.0,0.0,0.0,0,0
1651618858617098989,0.0,0.0,0.0,0.0,0.0,0,0
1651618858626951934,0.0,0.0,0.0,0.0,0.0,0,0
1651618858637250389,0.0,0.0,0.0,0.0,0.0,0,0
1651618858646864370,0.0,0.0,0.0,0.0,0.0,0,0
1651618858657360967,0.0,0.0,0.0,0.0,0.0,0,0
1651618858666848078,0.0,0.0,0.0,0.0,0.0,0,0
1651618858677339750,0.0,0.0,0.0,0.0,0.0,0,0
1651618858687063778,0.0,0.0,0.0,0.0,0.0,0,0
1651618858696933372,0.0,0.0,0.0,0.0,0.0,0,0
1651618858706689340,0.0,0.0,0.0,0.0,0.0,0,0
1651618858717027123,0.0,0.0,0.0,0.0,0.0,0,0
1651618858726910842,0.0,0.0,0.0,0.0,0.0,0,0
1651618858736931113,0.0,0.0,0.0,0.0,0.0,0,0
1651618858747361013,0.0,0.0,0.0,0.0,0.0,0,0
1651618858757054269,0.0,0.0,0.0,0.0,0.0,0,0
1651618858767455198,0.0,0.0,0.0,0.0,0.0,0,0
1651618858776875716,0.0,0.0,0.0,0.0,0.0,0,0
1651618858788328929,0.0,0.0,0.0,0.0,0.0,0,0
1651618858797180994,0.0,0.0,0.0,0.0,0.0,0,0
1651618858807182772,0.0,0.0,0.0,0.0,0.0,0,0
1651618858821354859,0.0,0.0,0.0,0.0,0.0,0,0
1651618858828169713,0.0,0.0,0.0,0.0,0.0,0,0
1651618858837907692,0.0,0.0,0.0,0.0,0.0,0,0
1651618858846981956,0.0,0.0,0.0,0.0,0.0,0,0
1651618858857343413,0.0,0.0,0.0,0.0,0.0,0,0
1651618858866981353,0.0,0.0,0.0,0.0,0.0,0,0
1651618858877134275,0.0,0.0,0.0,0.0,0.0,0,0
1651618858886902956,0.0,0.0,0.0,0.0,0.0,0,0
1651618858896777759,0.0,0.0,0.0,0.0,0.0,0,0
1651618858907242411,0.0,0.0,0.0,0.0,0.0,0,0
1651618858916845281,0.0,0.0,0.0,0.0,0.0,0,0
1651618858927009909,0.0,0.0,0.0,0.0,0.0,0,0
1651618858936886974,0.0,0.0,0.0,0.0,0.0,0,0
1651618858947049170,0.0,0.0,0.0,0.0,0.0,0,0
1651618858958526589,0.0,0.0,0.0,0.0,0.0,0,0
1651618858967980099,0.0,0.0,0.0,0.0,0.0,0,0
1651618858977284878,0.0,0.0,0.0,0.0,0.0,0,0
1651618858987180760,0.0,0.0,0.0,0.0,0.0,0,0
1651618858997676614,0.0,0.0,0.0,0.0,0.0,0,0
1651618859007151702,0.0,0.0,0.0,0.0,0.0,0,0
1651618859017245325,0.0,0.0,0.0,0.0,0.0,0,0
1651618859027633631,0.0,0.0,0.0,0.0,0.0,0,0
1651618859037017036,0.0,0.0,0.0,0.0,0.0,0,0
1651618859046910221,0.0,0.0,0.0,0.0,0.0,0,0
1651618859057445512,0.0,0.0,0.0,0.0,0.0,0,0
1651618859067210043,0.0,0.0,0.0,0.0,0.0,0,0
1651618859077343553,0.0,0.0,0.0,0.0,0.0,0,0
1651618859086866855,0.0,0.0,0.0,0.0,0.0,0,0
1651618859097237192,0.0,0.0,0.0,0.0,0.0,0,0
1651618859106947217,0.0,0.0,0.0,0.0,0.0,0,0
1651618859117187274,0.0,0.0,0.0,0.0,0.0,0,0
1651618859126999887,0.0,0.0,0.0,0.0,0.0,0,0
1651618859137486233,0.0,0.0,0.0,0.0,0.0,0,0
1651618859147156158,0.0,0.0,0.0,0.0,0.0,0,0
1651618859157124703,0.0,0.0,0.0,0.0,0.0,0,0
1651618859167014439,0.0,0.0,0.0,0.0,0.0,0,0
1651618859177166803,0.0,0.0,0.0,0.0,0.0,0,0
1651618859187063968,0.0,0.0,0.0,0.0,0.0,0,0
1651618859198524388,0.0,0.0,0.0,0.0,0.0,0,0
1651618859212015357,0.0,0.0,0.0,0.0,0.0,0,0
1651618859217002830,0.0,0.0,0.0,0.0,0.0,0,0
1651618859226821704,0.0,0.0,0.0,0.0,0.0,0,0
1651618859237085300,0.0,0.0,0.0,0.0,0.0,0,0
1651618859247037114,0.0,0.0,0.0,0.0,0.0,0,0
1651618859257339312,0.0,0.0,0.0,0.0,0.0,0,0
1651618859267542340,0.0,0.0,0.0,0.0,0.0,0,0
1651618859277300848,0.0,0.0,0.0,0.0,0.0,0,0
1651618859286854947,0.0,0.0,0.0,0.0,0.0,0,0
1651618859297081365,0.0,0.0,0.0,0.0,0.0,0,0
1651618859306870980,0.0,0.0,0.0,0.0,0.0,0,0
1651618859317013758,0.0,0.0,0.0,0.0,0.0,0,0
1651618859327197285,0.0,0.0,0.0,0.0,0.0,0,0
1651618859337175807,0.0,0.0,0.0,0.0,0.0,0,0
1651618859347031732,0.0,0.0,0.0,0.0,0.0,0,0
1651618859357883619,0.0,0.0,0.0,0.0,0.0,0,0
1651618859367304747,0.0,0.0,0.0,0.0,0.0,0,0
1651618859377086033,0.0,0.0,0.0,0.0,0.0,0,0
1651618859387159407,0.0,0.0,0.0,0.0,0.0,0,0
1651618859397372369,0.0,0.0,0.0,0.0,0.0,0,0
1651618859407081429,0.0,0.0,0.0,0.0,0.0,0,0
1651618859417560754,0.0,0.0,0.0,0.0,0.0,0,0
1651618859427683760,0.0,0.0,0.0,0.0,0.0,0,0
1651618859439464720,0.0,0.0,0.0,0.0,0.0,0,0
1651618859447659713,0.0,0.0,0.0,0.0,0.0,0,0
1651618859457583005,0.0,0.0,0.0,0.0,0.0,0,0
1651618859467354657,0.0,0.0,0.0,0.0,0.0,0,0
1651618859477075350,0.0,0.0,0.0,0.0,0.0,0,0
1651618859487516668,0.0,0.0,0.0,0.0,0.0,0,0
1651618859497661510,0.0,0.0,0.0,0.0,0.0,0,0
1651618859507111786,0.0,0.0,0.0,0.0,0.0,0,0
1651618859517763971,0.0,0.0,0.0,0.0,0.0,0,0
1651618859526864874,0.0,0.0,0.0,0.0,0.0,0,0
1651618859537672839,0.0,0.0,0.0,0.0,0.0,0,0
1651618859547248474,0.0,0.0,0.0,0.0,0.0,0,0
1651618859557725756,0.0,0.0,0.0,0.0,0.0,0,0
