%time,field.col,field.roll,field.pitch,field.yaw,field.throttle,field.killSwitch,field.nav
1651867236493665191,0.0,0.0,0.0,0.0,0.0,0,0
1651867236503485735,0.0,0.0,0.0,0.0,0.0,0,0
1651867236513611650,0.0,0.0,0.0,0.0,0.0,0,0
1651867236524049977,0.0,0.0,0.0,0.0,0.0,0,0
1651867236534139828,0.0,0.0,0.0,0.0,0.0,0,0
1651867236544017355,0.0,0.0,0.0,0.0,0.0,0,0
1651867236554510722,0.0,0.0,0.0,0.0,0.0,0,0
1651867236563767591,0.0,0.0,0.0,0.0,0.0,0,0
1651867236574062641,0.0,0.0,0.0,0.0,0.0,0,0
1651867236583767057,0.0,0.0,0.0,0.0,0.0,0,0
1651867236593647391,0.0,0.0,0.0,0.0,0.0,0,0
1651867236603610245,0.0,0.0,0.0,0.0,0.0,0,0
1651867236613563112,0.0,0.0,0.0,0.0,0.0,0,0
1651867236623428399,0.0,0.0,0.0,0.0,0.0,0,0
1651867236633321645,0.0,0.0,0.0,0.0,0.0,0,0
1651867236643772853,0.0,0.0,0.0,0.0,0.0,0,0
1651867236653914100,0.0,0.0,0.0,0.0,0.0,0,0
1651867236664084700,0.0,0.0,0.0,0.0,0.0,0,0
1651867236674758820,0.0,0.0,0.0,0.0,0.0,0,0
1651867236684351640,0.0,0.0,0.0,0.0,0.0,0,0
1651867236694201456,0.0,0.0,0.0,0.0,0.0,0,0
1651867236703756469,0.0,0.0,0.0,0.0,0.0,0,0
1651867236714521737,0.0,0.0,0.0,0.0,0.0,0,0
1651867236725570564,0.0,0.0,0.0,0.0,0.0,0,0
1651867236734051205,0.0,0.0,0.0,0.0,0.0,0,0
1651867236744533131,0.0,0.0,0.0,0.0,0.0,0,0
1651867236755261894,0.0,0.0,0.0,0.0,0.0,0,0
1651867236763995094,0.0,0.0,0.0,0.0,0.0,0,0
1651867236773936933,0.0,0.0,0.0,0.0,0.0,0,0
1651867236784146705,0.0,0.0,0.0,0.0,0.0,0,0
1651867236793762589,0.0,0.0,0.0,0.0,0.0,0,0
1651867236803753253,0.0,0.0,0.0,0.0,0.0,0,0
1651867236813541275,0.0,0.0,0.0,0.0,0.0,0,0
1651867236823640524,0.0,0.0,0.0,0.0,0.0,0,0
1651867236833386533,0.0,0.0,0.0,0.0,0.0,0,0
1651867236848263127,0.0,0.0,0.0,0.0,0.0,0,0
1651867236853527368,0.0,0.0,0.0,0.0,0.0,0,0
1651867236864460157,0.0,0.0,0.0,0.0,0.0,0,0
1651867236880527958,0.0,0.0,0.0,0.0,0.0,0,0
1651867236884870163,0.0,0.0,0.0,0.0,0.0,0,0
1651867236893629744,0.0,0.0,0.0,0.0,0.0,0,0
1651867236903945443,0.0,0.0,0.0,0.0,0.0,0,0
1651867236934426293,0.0,0.0,0.0,0.0,0.0,0,0
1651867236934500991,0.0,0.0,0.0,0.0,0.0,0,0
1651867236934840331,0.0,0.0,0.0,0.0,0.0,0,0
1651867236943841024,0.0,0.0,0.0,0.0,0.0,0,0
1651867236953703175,0.0,0.0,0.0,0.0,0.0,0,0
1651867236964156328,0.0,0.0,0.0,0.0,0.0,0,0
1651867236973417252,0.0,0.0,0.0,0.0,0.0,0,0
1651867236983721740,0.0,0.0,0.0,0.0,0.0,0,0
1651867236993775404,0.0,0.0,0.0,0.0,0.0,0,0
1651867237004380399,0.0,0.0,0.0,0.0,0.0,0,0
1651867237014432399,0.0,0.0,0.0,0.0,0.0,0,0
1651867237026698325,0.0,0.0,0.0,0.0,0.0,0,0
1651867237033418625,0.0,0.0,0.0,0.0,0.0,0,0
1651867237043821477,0.0,0.0,0.0,0.0,0.0,0,0
1651867237053521105,0.0,0.0,0.0,0.0,0.0,0,0
1651867237063878312,0.0,0.0,0.0,0.0,0.0,0,0
1651867237073582586,0.0,0.0,0.0,0.0,0.0,0,0
1651867237083861638,0.0,0.0,0.0,0.0,0.0,0,0
1651867237093877481,0.0,0.0,0.0,0.0,0.0,0,0
1651867237103598458,0.0,0.0,0.0,0.0,0.0,0,0
1651867237113528913,0.0,0.0,0.0,0.0,0.0,0,0
1651867237124191132,0.0,0.0,0.0,0.0,0.0,0,0
1651867237134158840,0.0,0.0,0.0,0.0,0.0,0,0
1651867237143975965,0.0,0.0,0.0,0.0,0.0,0,0
1651867237153531732,0.0,0.0,0.0,0.0,0.0,0,0
1651867237164231889,0.0,0.0,0.0,0.0,0.0,0,0
1651867237173485132,0.0,0.0,0.0,0.0,0.0,0,0
1651867237183964181,0.0,0.0,0.0,0.0,0.0,0,0
1651867237194536084,0.0,0.0,0.0,0.0,0.0,0,0
1651867237206228413,0.0,0.0,0.0,0.0,0.0,0,0
1651867237213989370,0.0,0.0,0.0,0.0,0.0,0,0
1651867237223773754,0.0,0.0,0.0,0.0,0.0,0,0
1651867237233900682,0.0,0.0,0.0,0.0,0.0,0,0
1651867237243561045,0.0,0.0,0.0,0.0,0.0,0,0
1651867237253712000,0.0,0.0,0.0,0.0,0.0,0,0
1651867237263276175,0.0,0.0,0.0,0.0,0.0,0,0
1651867237273649742,0.0,0.0,0.0,0.0,0.0,0,0
1651867237284061716,0.0,0.0,0.0,0.0,0.0,0,0
1651867237293725246,0.0,0.0,0.0,0.0,0.0,0,0
1651867237305454350,0.0,0.0,0.0,0.0,0.0,0,0
1651867237313737537,0.0,0.0,0.0,0.0,0.0,0,0
1651867237323665838,0.0,0.0,0.0,0.0,0.0,0,0
1651867237333767055,0.0,0.0,0.0,0.0,0.0,0,0
1651867237344273681,0.0,0.0,0.0,0.0,0.0,0,0
1651867237353545472,0.0,0.0,0.0,0.0,0.0,0,0
1651867237363838092,0.0,0.0,0.0,0.0,0.0,0,0
1651867237374384737,0.0,0.0,0.0,0.0,0.0,0,0
1651867237383758480,0.0,0.0,0.0,0.0,0.0,0,0
1651867237394124571,0.0,0.0,0.0,0.0,0.0,0,0
1651867237403752027,0.0,0.0,0.0,0.0,0.0,0,0
1651867237414164762,0.0,0.0,0.0,0.0,0.0,0,0
1651867237423901579,0.0,0.0,0.0,0.0,0.0,0,0
1651867237433802479,0.0,0.0,0.0,0.0,0.0,0,0
1651867237443786114,0.0,0.0,0.0,0.0,0.0,0,0
1651867237453773198,0.0,0.0,0.0,0.0,0.0,0,0
1651867237464199525,0.0,0.0,0.0,0.0,0.0,0,0
1651867237475830146,0.0,0.0,0.0,0.0,0.0,0,0
1651867237484332707,0.0,0.0,0.0,0.0,0.0,0,0
1651867237494375622,0.0,0.0,0.0,0.0,0.0,0,0
1651867237504137775,0.0,0.0,0.0,0.0,0.0,0,0
1651867237514356638,0.0,0.0,0.0,0.0,0.0,0,0
1651867237525204687,0.0,0.0,0.0,0.0,0.0,0,0
1651867237533513560,0.0,0.0,0.0,0.0,0.0,0,0
1651867237543417985,0.0,0.0,0.0,0.0,0.0,0,0
1651867237553597427,0.0,0.0,0.0,0.0,0.0,0,0
1651867237564557644,0.0,0.0,0.0,0.0,0.0,0,0
1651867237573959248,0.0,0.0,0.0,0.0,0.0,0,0
1651867237584075366,0.0,0.0,0.0,0.0,0.0,0,0
1651867237593732187,0.0,0.0,0.0,0.0,0.0,0,0
1651867237604221646,0.0,0.0,0.0,0.0,0.0,0,0
1651867237614167274,0.0,0.0,0.0,0.0,0.0,0,0
1651867237624548405,0.0,0.0,0.0,0.0,0.0,0,0
1651867237633658795,0.0,0.0,0.0,0.0,0.0,0,0
1651867237643614615,0.0,0.0,0.0,0.0,0.0,0,0
1651867237653743298,0.0,0.0,0.0,0.0,0.0,0,0
1651867237663654665,0.0,0.0,0.0,0.0,0.0,0,0
1651867237673623782,0.0,0.0,0.0,0.0,0.0,0,0
1651867237683807677,0.0,0.0,0.0,0.0,0.0,0,0
1651867237693746626,0.0,0.0,0.0,0.0,0.0,0,0
1651867237704105874,0.0,0.0,0.0,0.0,0.0,0,0
1651867237716105568,0.0,0.0,0.0,0.0,0.0,0,0
1651867237724344384,0.0,0.0,0.0,0.0,0.0,0,0
1651867237733538304,0.0,0.0,0.0,0.0,0.0,0,0
1651867237743619720,0.0,0.0,0.0,0.0,0.0,0,0
1651867237753399665,0.0,0.0,0.0,0.0,0.0,0,0
1651867237764396104,0.0,0.0,0.0,0.0,0.0,0,0
1651867237773547635,0.0,0.0,0.0,0.0,0.0,0,0
1651867237784800187,0.0,0.0,0.0,0.0,0.0,0,0
1651867237793798276,0.0,0.0,0.0,0.0,0.0,0,0
1651867237803878819,0.0,0.0,0.0,0.0,0.0,0,0
1651867237813473293,0.0,0.0,0.0,0.0,0.0,0,0
1651867237826804181,0.0,0.0,0.0,0.0,0.0,0,0
1651867237833987247,0.0,0.0,0.0,0.0,0.0,0,0
1651867237843474024,0.0,0.0,0.0,0.0,0.0,0,0
1651867237854194423,0.0,0.0,0.0,0.0,0.0,0,0
1651867237863888004,0.0,0.0,0.0,0.0,0.0,0,0
1651867237873579492,0.0,0.0,0.0,0.0,0.0,0,0
1651867237883667767,0.0,0.0,0.0,0.0,0.0,0,0
1651867237893502675,0.0,0.0,0.0,0.0,0.0,0,0
1651867237903868054,0.0,0.0,0.0,0.0,0.0,0,0
1651867237914157263,0.0,0.0,0.0,0.0,0.0,0,0
1651867237923408734,0.0,0.0,0.0,0.0,0.0,0,0
1651867237933360025,0.0,0.0,0.0,0.0,0.0,0,0
1651867237946573053,0.0,0.0,0.0,0.0,0.0,0,0
1651867237953614753,0.0,0.0,0.0,0.0,0.0,0,0
1651867237963092231,0.0,0.0,0.0,0.0,0.0,0,0
1651867237973631731,0.0,0.0,0.0,0.0,0.0,0,0
1651867237984708088,0.0,0.0,0.0,0.0,0.0,0,0
1651867237993746370,0.0,0.0,0.0,0.0,0.0,0,0
1651867238003441059,0.0,0.0,0.0,0.0,0.0,0,0
1651867238013531649,0.0,0.0,0.0,0.0,0.0,0,0
1651867238023833362,0.0,0.0,0.0,0.0,0.0,0,0
1651867238033699066,0.0,0.0,0.0,0.0,0.0,0,0
