%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz,field.sysCal,field.accelCal,field.gyroCal,field.magCal,field.dt
1650908644182826696,-0.019999999552965164,-0.11999999731779099,-0.07999999821186066,0.0625,0.0625,-0.0625,3.0,3.0,3.0,3.0,11.0
1650908644541386456,-0.009999999776482582,-0.10000000149011612,-0.07999999821186066,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,11.0
1650908644554889164,0.0,-0.09000000357627869,-0.07000000029802322,0.0625,0.0625,-0.0625,3.0,3.0,3.0,3.0,12.0
1650908644568885627,-0.009999999776482582,-0.09000000357627869,-0.10000000149011612,0.0625,-0.0625,0.0625,3.0,3.0,3.0,3.0,16.0
1650908644705876841,0.009999999776482582,-0.07999999821186066,-0.03999999910593033,0.0625,-0.1875,0.125,3.0,3.0,3.0,3.0,12.0
1650908644711685101,0.0,-0.10999999940395355,-0.10000000149011612,0.0625,0.0625,0.0625,3.0,3.0,3.0,3.0,11.0
1650908644725142772,-0.009999999776482582,-0.10000000149011612,-0.07000000029802322,-0.0625,0.0625,-0.0625,3.0,3.0,3.0,3.0,13.0
1650908644739087213,-0.009999999776482582,-0.10999999940395355,-0.05999999865889549,-0.1875,0.0625,0.0,3.0,3.0,3.0,3.0,15.0
1650908644753524404,0.0,-0.09000000357627869,-0.07000000029802322,-0.125,0.0,0.0,3.0,3.0,3.0,3.0,13.0
1650908644894215916,-0.019999999552965164,-0.09000000357627869,-0.07999999821186066,-0.125,0.0,0.0625,3.0,3.0,3.0,3.0,11.0
1650908644907457197,-0.009999999776482582,-0.10999999940395355,-0.07999999821186066,0.125,-0.0625,0.0625,3.0,3.0,3.0,3.0,14.0
1650908644925233715,-0.019999999552965164,-0.11999999731779099,-0.07999999821186066,0.0625,0.0,0.0,3.0,3.0,3.0,3.0,14.0
1650908644993666917,0.0,-0.12999999523162842,-0.03999999910593033,0.0,-0.0625,0.0,3.0,3.0,3.0,3.0,11.0
1650908645007366144,-0.019999999552965164,-0.10999999940395355,-0.07000000029802322,-0.125,-0.0625,0.0,3.0,3.0,3.0,3.0,14.0
1650908645021124313,-0.019999999552965164,-0.09000000357627869,-0.09000000357627869,-0.125,-0.0625,-0.0625,3.0,3.0,3.0,3.0,14.0
1650908645039214699,-0.019999999552965164,-0.09000000357627869,-0.05999999865889549,0.125,-0.0625,0.0,3.0,3.0,3.0,3.0,3.0
1650908645049822607,0.009999999776482582,-0.10000000149011612,-0.07000000029802322,0.0,-0.125,0.0,3.0,3.0,3.0,3.0,14.0
1650908645065989142,-0.019999999552965164,-0.10000000149011612,-0.07999999821186066,-0.0625,-0.125,0.0625,3.0,3.0,3.0,3.0,12.0
1650908645078819643,0.0,-0.07999999821186066,-0.07000000029802322,0.0625,0.1875,0.125,3.0,3.0,3.0,3.0,15.0
1650908645098862787,-0.019999999552965164,-0.10000000149011612,-0.05999999865889549,-0.1875,0.0,-0.0625,3.0,3.0,3.0,3.0,14.0
1650908645112827646,0.009999999776482582,-0.10999999940395355,-0.07999999821186066,0.0625,0.25,0.0,3.0,3.0,3.0,3.0,6.0
1650908645121633355,-0.029999999329447746,-0.09000000357627869,-0.10000000149011612,0.125,0.0,-0.125,3.0,3.0,3.0,3.0,11.0
1650908645134816872,-0.009999999776482582,-0.10999999940395355,-0.05999999865889549,0.0625,-0.125,0.0625,3.0,3.0,3.0,3.0,13.0
1650908645147636895,-0.009999999776482582,-0.10999999940395355,-0.05999999865889549,0.0,0.0,0.0625,3.0,3.0,3.0,3.0,15.0
