%time,field.data
1650908644127548243,time:1650908644.1271024, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644147620549,time:1650908644.1473653, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644167703516,time:1650908644.1674497, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644187289029,time:1650908644.1869936, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644207685898,time:1650908644.207305, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644227158741,time:1650908644.2268996, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644247947169,time:1650908644.2472072, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644267924146,time:1650908644.2670064, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644288268107,time:1650908644.2879012, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644307502799,time:1650908644.3071, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644327814146,time:1650908644.3274322, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644347591790,time:1650908644.3472044, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644368121729,time:1650908644.3674424, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644387652453,time:1650908644.387361, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
1650908644407385904,time:1650908644.4069996, thrl:0.00634765625, r:-0.000518798828125, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:-0.019073486328125
