%time,field.data
1650909037079908799,time:1650909037.0794683, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037098843015,time:1650909037.0984344, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037118910337,time:1650909037.118546, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037139424301,time:1650909037.1390886, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037159001858,time:1650909037.1586242, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037179137883,time:1650909037.1787229, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037199861667,time:1650909037.1991284, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037218667280,time:1650909037.2183726, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037238776473,time:1650909037.238464, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037258823727,time:1650909037.2584805, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037278591509,time:1650909037.2783265, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037298740304,time:1650909037.2983885, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037321137769,time:1650909037.3205519, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
