Alphabetical list of Lua fields for OpenTX version 2.3.15


Field name               Field description
----------------------------------------------
ail                      Aileron
ch1                      Channel CH1
ch2                      Channel CH2
ch3                      Channel CH3
ch4                      Channel CH4
ch5                      Channel CH5
ch6                      Channel CH6
ch7                      Channel CH7
ch8                      Channel CH8
ch9                      Channel CH9
ch10                     Channel CH10
ch11                     Channel CH11
ch12                     Channel CH12
ch13                     Channel CH13
ch14                     Channel CH14
ch15                     Channel CH15
ch16                     Channel CH16
ch17                     Channel CH17
ch18                     Channel CH18
ch19                     Channel CH19
ch20                     Channel CH20
ch21                     Channel CH21
ch22                     Channel CH22
ch23                     Channel CH23
ch24                     Channel CH24
ch25                     Channel CH25
ch26                     Channel CH26
ch27                     Channel CH27
ch28                     Channel CH28
ch29                     Channel CH29
ch30                     Channel CH30
ch31                     Channel CH31
ch32                     Channel CH32
clock                    RTC clock [minutes from midnight]
cyc1                     Cyclic 1
cyc2                     Cyclic 2
cyc3                     Cyclic 3
ele                      Elevator
gvar1                    Global variable 1
gvar2                    Global variable 2
gvar3                    Global variable 3
gvar4                    Global variable 4
gvar5                    Global variable 5
gvar6                    Global variable 6
gvar7                    Global variable 7
gvar8                    Global variable 8
gvar9                    Global variable 9
input1                   Input [I1]
input2                   Input [I2]
input3                   Input [I3]
input4                   Input [I4]
input5                   Input [I5]
input6                   Input [I6]
input7                   Input [I7]
input8                   Input [I8]
input9                   Input [I9]
input10                  Input [I10]
input11                  Input [I11]
input12                  Input [I12]
input13                  Input [I13]
input14                  Input [I14]
input15                  Input [I15]
input16                  Input [I16]
input17                  Input [I17]
input18                  Input [I18]
input19                  Input [I19]
input20                  Input [I20]
input21                  Input [I21]
input22                  Input [I22]
input23                  Input [I23]
input24                  Input [I24]
input25                  Input [I25]
input26                  Input [I26]
input27                  Input [I27]
input28                  Input [I28]
input29                  Input [I29]
input30                  Input [I30]
input31                  Input [I31]
input32                  Input [I32]
ls1                      Logical switch L1
ls2                      Logical switch L2
ls3                      Logical switch L3
ls4                      Logical switch L4
ls5                      Logical switch L5
ls6                      Logical switch L6
ls7                      Logical switch L7
ls8                      Logical switch L8
ls9                      Logical switch L9
ls10                     Logical switch L10
ls11                     Logical switch L11
ls12                     Logical switch L12
ls13                     Logical switch L13
ls14                     Logical switch L14
ls15                     Logical switch L15
ls16                     Logical switch L16
ls17                     Logical switch L17
ls18                     Logical switch L18
ls19                     Logical switch L19
ls20                     Logical switch L20
ls21                     Logical switch L21
ls22                     Logical switch L22
ls23                     Logical switch L23
ls24                     Logical switch L24
ls25                     Logical switch L25
ls26                     Logical switch L26
ls27                     Logical switch L27
ls28                     Logical switch L28
ls29                     Logical switch L29
ls30                     Logical switch L30
ls31                     Logical switch L31
ls32                     Logical switch L32
ls33                     Logical switch L33
ls34                     Logical switch L34
ls35                     Logical switch L35
ls36                     Logical switch L36
ls37                     Logical switch L37
ls38                     Logical switch L38
ls39                     Logical switch L39
ls40                     Logical switch L40
ls41                     Logical switch L41
ls42                     Logical switch L42
ls43                     Logical switch L43
ls44                     Logical switch L44
ls45                     Logical switch L45
ls46                     Logical switch L46
ls47                     Logical switch L47
ls48                     Logical switch L48
ls49                     Logical switch L49
ls50                     Logical switch L50
ls51                     Logical switch L51
ls52                     Logical switch L52
ls53                     Logical switch L53
ls54                     Logical switch L54
ls55                     Logical switch L55
ls56                     Logical switch L56
ls57                     Logical switch L57
ls58                     Logical switch L58
ls59                     Logical switch L59
ls60                     Logical switch L60
ls61                     Logical switch L61
ls62                     Logical switch L62
ls63                     Logical switch L63
ls64                     Logical switch L64
lua1                     Lua mix output 1
lua2                     Lua mix output 2
lua3                     Lua mix output 3
lua4                     Lua mix output 4
lua5                     Lua mix output 5
lua6                     Lua mix output 6
lua7                     Lua mix output 7
lua8                     Lua mix output 8
lua9                     Lua mix output 9
lua10                    Lua mix output 10
lua11                    Lua mix output 11
lua12                    Lua mix output 12
lua13                    Lua mix output 13
lua14                    Lua mix output 14
lua15                    Lua mix output 15
lua16                    Lua mix output 16
lua17                    Lua mix output 17
lua18                    Lua mix output 18
lua19                    Lua mix output 19
lua20                    Lua mix output 20
lua21                    Lua mix output 21
lua22                    Lua mix output 22
lua23                    Lua mix output 23
lua24                    Lua mix output 24
lua25                    Lua mix output 25
lua26                    Lua mix output 26
lua27                    Lua mix output 27
lua28                    Lua mix output 28
lua29                    Lua mix output 29
lua30                    Lua mix output 30
lua31                    Lua mix output 31
lua32                    Lua mix output 32
lua33                    Lua mix output 33
lua34                    Lua mix output 34
lua35                    Lua mix output 35
lua36                    Lua mix output 36
lua37                    Lua mix output 37
lua38                    Lua mix output 38
lua39                    Lua mix output 39
lua40                    Lua mix output 40
lua41                    Lua mix output 41
lua42                    Lua mix output 42
max                      MAX
rud                      Rudder
s1                       Potentiometer 1
s2                       Potentiometer 2
sa                       Switch A
sb                       Switch B
sc                       Switch C
sd                       Switch D
sf                       Switch F
sh                       Switch H
si                       Switch I
sj                       Switch J
telem1                   Telemetry sensor 1
telem2                   Telemetry sensor 2
telem3                   Telemetry sensor 3
telem4                   Telemetry sensor 4
telem5                   Telemetry sensor 5
telem6                   Telemetry sensor 6
telem7                   Telemetry sensor 7
telem8                   Telemetry sensor 8
telem9                   Telemetry sensor 9
telem10                  Telemetry sensor 10
telem11                  Telemetry sensor 11
telem12                  Telemetry sensor 12
telem13                  Telemetry sensor 13
telem14                  Telemetry sensor 14
telem15                  Telemetry sensor 15
telem16                  Telemetry sensor 16
telem17                  Telemetry sensor 17
telem18                  Telemetry sensor 18
telem19                  Telemetry sensor 19
telem20                  Telemetry sensor 20
telem21                  Telemetry sensor 21
telem22                  Telemetry sensor 22
telem23                  Telemetry sensor 23
telem24                  Telemetry sensor 24
telem25                  Telemetry sensor 25
telem26                  Telemetry sensor 26
telem27                  Telemetry sensor 27
telem28                  Telemetry sensor 28
telem29                  Telemetry sensor 29
telem30                  Telemetry sensor 30
telem31                  Telemetry sensor 31
telem32                  Telemetry sensor 32
telem33                  Telemetry sensor 33
telem34                  Telemetry sensor 34
telem35                  Telemetry sensor 35
telem36                  Telemetry sensor 36
telem37                  Telemetry sensor 37
telem38                  Telemetry sensor 38
telem39                  Telemetry sensor 39
telem40                  Telemetry sensor 40
thr                      Throttle
timer1                   Timer 1 value [seconds]
timer2                   Timer 2 value [seconds]
timer3                   Timer 3 value [seconds]
trim-ail                 Aileron trim
trim-ele                 Elevator trim
trim-rud                 Rudder trim
trim-thr                 Throttle trim
trn1                     Trainer input 1
trn2                     Trainer input 2
trn3                     Trainer input 3
trn4                     Trainer input 4
trn5                     Trainer input 5
trn6                     Trainer input 6
trn7                     Trainer input 7
trn8                     Trainer input 8
trn9                     Trainer input 9
trn10                    Trainer input 10
trn11                    Trainer input 11
trn12                    Trainer input 12
trn13                    Trainer input 13
trn14                    Trainer input 14
trn15                    Trainer input 15
trn16                    Trainer input 16
tx-voltage               Transmitter battery voltage [volts]
