TIME	X_REF	Y_REF	Z_REF	QW_REF	QX_REF	QY_REF	QZ_REF	VX_REF	VY_REF	VZ_REF	AVX_REF	AVY_REF	AVZ_REF
0.0025	7.088907175	1.689488447	-0.022924629	0.999984669	0.00147353	0.000703242	0.005263386	0.055940638	-0.008475423	0.603546224	-0.045548221	-0.170814505	-0.014972839
0.005	7.089044088	1.689464216	-0.021344998	0.99998492	0.00135978	0.000505563	0.005243822	0.057097591	-0.008807105	0.611533329	-0.05858293	-0.150229204	-0.016364516
0.0075	7.089184766	1.689440441	-0.019771974	0.999985174	0.001254047	0.00031193	0.005220372	0.058253513	-0.009132159	0.619564766	-0.069245094	-0.135123715	-0.015597472
0.01	7.089329746	1.689416012	-0.018202231	0.999985401	0.001156127	0.000131274	0.005197477	0.059394485	-0.009450907	0.62767608	-0.076503456	-0.122472612	-0.012517369
0.0125	7.089478598	1.689389809	-0.016632442	0.99998557	0.001059184	-2.59E-05	0.005182341	0.060503341	-0.009772335	0.635906583	-0.078985992	-0.110309283	-0.007581772
0.015	7.089631277	1.689361617	-0.015059418	0.999985675	0.000952893	-0.00014951	0.005178595	0.061562377	-0.01010998	0.644295727	-0.075633711	-0.101352071	-0.003812666
0.0175	7.089786409	1.689332974	-0.013480017	0.999985735	0.00083461	-0.00023165	0.005183933	0.062556218	-0.010467516	0.652880103	-0.067025986	-0.091061285	-0.001284958
0.02	7.089942824	1.689305853	-0.011889451	0.999985773	0.000712708	-0.000272011	0.005192376	0.063479006	-0.010834064	0.661690308	-0.055246198	-0.078405571	-5.27E-06
0.0225	7.090101208	1.689280088	-0.010282266	0.99998579	0.00059034	-0.000278649	0.00520241	0.064335854	-0.011205867	0.670748491	-0.04274391	-0.062667399	-6.13E-06
0.025	7.090264285	1.689253419	-0.008652416	0.999985798	0.000464941	-0.000263745	0.005211397	0.065137893	-0.011586445	0.68006755	-0.031384815	-0.041203872	-0.000529672
0.0275	7.090433711	1.68922464	-0.006994211	0.999985836	0.000341125	-0.000237487	0.005211302	0.065894663	-0.011968616	0.689651718	-0.026816091	-0.022267347	-0.00058755
