TIME	X_REF	Y_REF	Z_REF	QW_REF	QX_REF	QY_REF	QZ_REF	VX_REF	VY_REF	VZ_REF	AVX_REF	AVY_REF	AVZ_REF
0.00250	7.08891	1.68949	-0.02292	0.99998	0.00147	0.00070	0.00526	0.05594	-0.00848	0.60355	-0.04555	-0.17081	-0.01497
0.00500	7.08904	1.68946	-0.02134	0.99998	0.00136	0.00051	0.00524	0.05710	-0.00881	0.61153	-0.05858	-0.15023	-0.01636
0.00750	7.08918	1.68944	-0.01977	0.99999	0.00125	0.00031	0.00522	0.05825	-0.00913	0.61956	-0.06925	-0.13512	-0.01560
0.01000	7.08933	1.68942	-0.01820	0.99999	0.00116	0.00013	0.00520	0.05939	-0.00945	0.62768	-0.07650	-0.12247	-0.01252
0.01250	7.08948	1.68939	-0.01663	0.99999	0.00106	-0.00003	0.00518	0.06050	-0.00977	0.63591	-0.07899	-0.11031	-0.00758
0.01500	7.08963	1.68936	-0.01506	0.99999	0.00095	-0.00015	0.00518	0.06156	-0.01011	0.64430	-0.07563	-0.10135	-0.00381
0.01750	7.08979	1.68933	-0.01348	0.99999	0.00083	-0.00023	0.00518	0.06256	-0.01047	0.65288	-0.06703	-0.09106	-0.00128
0.02000	7.08994	1.68931	-0.01189	0.99999	0.00071	-0.00027	0.00519	0.06348	-0.01083	0.66169	-0.05525	-0.07841	-0.00001
0.02250	7.09010	1.68928	-0.01028	0.99999	0.00059	-0.00028	0.00520	0.06434	-0.01121	0.67075	-0.04274	-0.06267	-0.00001
0.02500	7.09026	1.68925	-0.00865	0.99999	0.00046	-0.00026	0.00521	0.06514	-0.01159	0.68007	-0.03138	-0.04120	-0.00053
0.02750	7.09043	1.68922	-0.00699	0.99999	0.00034	-0.00024	0.00521	0.06589	-0.01197	0.68965	-0.02682	-0.02227	-0.00059
0.03000	7.09061	1.68919	-0.00530	0.99999	0.00023	-0.00021	0.00520	0.06662	-0.01234	0.69950	-0.02697	-0.00378	0.00047
0.03250	7.09079	1.68916	-0.00358	0.99999	0.00014	-0.00018	0.00517	0.06731	-0.01267	0.70959	-0.03045	0.01588	0.00323
0.03500	7.09097	1.68912	-0.00182	0.99999	0.00008	-0.00016	0.00513	0.06797	-0.01297	0.71992	-0.03400	0.02926	0.00674
0.03750	7.09114	1.68909	-0.00003	0.99999	0.00005	-0.00014	0.00508	0.06860	-0.01323	0.73045	-0.03637	0.04012	0.01101
