t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,-5,4.5,1.2,1,3.77E-24,1.01E-24,3.89E-25,0,0,0,9.63E-28,5.59E-26,8.65E-28,0.187587687,-0.544896726,4.20998126,86.81055921,29.82235543,5.787343789,3.126929039,2.738816649,2.935558857,3.126901558,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0.0518351,-4.99987473,4.499633339,1.205679729,0.998091632,0.058311325,0.019913786,0.003886721,0.009723625,-0.028244773,0.218224772,4.499833446,1.54584458,0.299987506,1.464009313,-2.305205168,3.636760391,-140.5620916,58.44314458,-11.57483754,2.488199603,3.153864052,3.151051651,2.878931678,0.999842419,0.000157581,0.045171568,0.999951498,4.85E-05,0.052016599,0.999963923,3.61E-05,0.045298742,0.999965803,3.42E-05,0.044996979,0.999967684,3.23E-05,0.044995939,0.999969566,3.04E-05,0.044996799,0.99997145,2.85E-05,0.044902596,0.999973338,2.67E-05,0.044985768,0.999975231,2.48E-05,0.045000208,0.999977134,2.29E-05,0.045002495,0.999979062,2.09E-05,0.044994048,0.999981003,1.90E-05,0.044993282,0.999982962,1.70E-05,0.044994034,0.999984946,1.51E-05,0.044901171,0.999986961,1.30E-05,0.044984002,0.999989022,1.10E-05,0.044996523,0.999991151,8.85E-06,0.044997485,0.999993391,6.61E-06,0.044991974,0.999995823,4.18E-06,0.04499129,0.99999874,1.26E-06,0.044991976
0.10367,-4.997887206,4.495196181,1.221953177,0.991848398,0.079651644,0.098947236,0.010844409,0.085610685,-0.147735298,0.406736586,-2.786215703,4.575250438,-0.299995279,3.795342594,-1.925546371,2.823654854,143.471489,-64.88855304,0.000856345,3.180797035,2.704574198,2.488948141,2.965141863,0.999686592,0.000155826,0.045145331,0.99990299,4.85E-05,0.052002797,0.999927937,3.60E-05,0.045238444,0.999931577,3.42E-05,0.044996969,0.999935219,3.25E-05,0.044995967,0.999938864,3.07E-05,0.044996862,0.999942516,2.89E-05,0.044902758,0.999946178,2.72E-05,0.044985793,0.999949855,2.54E-05,0.045000469,0.999953563,2.36E-05,0.045003027,0.999957339,2.17E-05,0.044994173,0.999961152,1.99E-05,0.044993414,0.999965013,1.79E-05,0.044994178,0.999968937,1.60E-05,0.044901391,0.999972944,1.40E-05,0.044984074,0.999977065,1.20E-05,0.044996692,0.999981359,9.79E-06,0.044997655,0.999985926,7.46E-06,0.044992064,0.999990954,4.87E-06,0.044991361,0.99999713,1.61E-06,0.044992007
0.155505,-4.988779817,4.485075223,1.246975897,0.979513056,0.101452132,0.173964748,0.003940112,0.282342623,-0.247546174,0.553101,4.650642333,1.21174623,-0.299950891,4.511980457,-4.10210083,2.994842474,-58.81600572,-114.5499816,11.57387836,3.207726862,3.207716354,3.022995801,2.629494445,0.999531218,0.000155374,0.045133138,0.999854433,4.86E-05,0.052008158,0.999891974,3.60E-05,0.045207506,0.999897285,3.43E-05,0.044996951,0.999902598,3.26E-05,0.044995983,0.999907921,3.09E-05,0.0449969,0.999913259,2.93E-05,0.044902878,0.999918618,2.76E-05,0.044985752,0.999924006,2.58E-05,0.045000673,0.999929451,2.41E-05,0.045003453,0.999935023,2.23E-05,0.044994253,0.999940662,2.05E-05,0.044993504,0.999946389,1.86E-05,0.044994272,0.99995223,1.67E-05,0.044901548,0.999958219,1.47E-05,0.044984064,0.999964408,1.27E-05,0.044996813,0.9999709,1.05E-05,0.044997778,0.999977862,8.06E-06,0.044992112,0.999985605,5.35E-06,0.044991399,0.999995279,1.85E-06,0.044992014
0.20734,-4.967779433,4.467234212,1.27972373,0.975084968,0.17978505,0.128912069,-0.017386036,0.516221551,-0.460178954,0.708338939,1.601909182,-4.725962767,0.299982175,2.747476455,-4.543161171,2.352034138,-123.5316034,183.7995722,-11.57471243,2.209864947,2.819517182,3.234663256,3.018551244,0.999375316,0.000155902,0.045126228,0.999805757,4.87E-05,0.052035616,0.999855963,3.60E-05,0.04518687,0.999862869,3.44E-05,0.044996926,0.999869782,3.28E-05,0.044995991,0.999876714,3.12E-05,0.044996916,0.99988367,2.96E-05,0.044902869,0.999890665,2.80E-05,0.044985639,0.999897707,2.63E-05,0.045000856,0.999904842,2.46E-05,0.04500384,0.999912169,2.29E-05,0.044994306,0.9999196,2.11E-05,0.044993568,0.999927167,1.92E-05,0.044994332,0.999934909,1.73E-05,0.044901569,0.99994288,1.53E-05,0.044983973,0.999951154,1.33E-05,0.044996912,0.99995988,1.10E-05,0.044997877,0.999969298,8.56E-06,0.044992132,0.999979859,5.75E-06,0.044991414,0.99999323,2.05E-06,0.044991995
0.259175,-4.937352375,4.437042108,1.319525224,0.981561863,0.139007028,0.130595401,-0.013515966,0.65863725,-0.695674137,0.830256848,-4.801363019,4.801305227,-0.299994125,5.003411332,-3.136928749,2.215920416,186.7103423,1.456564714,11.5750119,3.261596029,2.442446239,2.642947543,3.068546928,0.999217925,0.000157391,0.045122464,0.999756913,4.88E-05,0.052078077,0.999819835,3.61E-05,0.045171582,0.999828269,3.46E-05,0.044996885,0.999836718,3.31E-05,0.044995984,0.999845199,3.15E-05,0.044996913,0.999853719,3.00E-05,0.044903094,0.999862304,2.84E-05,0.044985442,0.99987096,2.67E-05,0.045001033,0.99987975,2.51E-05,0.045004205,0.999888796,2.34E-05,0.04499433,0.999897991,2.16E-05,0.044993606,0.999907379,1.98E-05,0.044994364,0.999917013,1.79E-05,0.044901814,0.999926973,1.59E-05,0.044983794,0.999937355,1.38E-05,0.044996998,0.999948358,1.15E-05,0.04499796,0.999960291,9.01E-06,0.044992122,0.999973766,6.09E-06,0.044991402,0.999991011,2.22E-06,0.044991952
0.311011,-4.89718422,4.396742643,1.365821657,0.957237388,0.140421551,0.253053944,-0.001352,0.917989544,-0.858277132,0.94511929,4.876785014,4.876806395,0.299997698,7.92625987,-4.014021771,0.353036721,-189.6196762,1.453905398,-11.57508526,2.459679708,3.288528458,3.095451645,2.660155794,0.999058187,0.000159738,0.045120844,0.999707846,4.91E-05,0.05213629,0.999783526,3.63E-05,0.045159572,0.99979342,3.48E-05,0.044996833,0.999803345,3.34E-05,0.044995968,0.999813326,3.19E-05,0.044996895,0.999823365,3.04E-05,0.044903484,0.999833507,2.88E-05,0.044985168,0.999843752,2.72E-05,0.045001207,0.999854175,2.56E-05,0.045004552,0.999864905,2.39E-05,0.044994332,0.999875837,2.22E-05,0.044993623,0.999887035,2.03E-05,0.044994373,0.999898556,1.85E-05,0.04490222,0.999910521,1.65E-05,0.044983532,0.999923044,1.43E-05,0.044997074,0.999936371,1.20E-05,0.044998031,0.999950873,9.42E-06,0.044992088,0.999967354,6.41E-06,0.044991368,0.999988638,2.37E-06,0.044991887
0.362846,-4.839568863,4.346774154,1.415734267,0.9175648,0.139351901,0.371841774,0.022043882,1.328847964,-1.066344325,0.963418981,-4.952168615,4.952169717,-0.299997927,10.93705893,-2.512206033,-1.330290982,191.9447989,1.453836426,0.287141746,3.315458064,2.674172672,2.683886923,3.315409496,0.998895089,0.000163098,0.04512115,0.99965845,4.94E-05,0.052225041,0.999746945,3.66E-05,0.045150029,0.999758231,3.52E-05,0.044996779,0.999769579,3.38E-05,0.044995949,0.99978102,3.23E-05,0.044996854,0.999792543,3.08E-05,0.044903764,0.999804221,2.93E-05,0.044984799,0.99981605,2.77E-05,0.045001377,0.999828099,2.61E-05,0.04500488,0.999840475,2.44E-05,0.044994316,0.999853125,2.27E-05,0.044993624,0.999866125,2.09E-05,0.044994349,0.999879538,1.90E-05,0.044902508,0.999893529,1.70E-05,0.044983171,0.999908237,1.48E-05,0.044997136,0.999923942,1.24E-05,0.044998087,0.99994107,9.80E-06,0.044992031,0.999960645,6.71E-06,0.044991314,0.999986124,2.51E-06,0.044991789
0.414681,-4.756504084,4.287996377,1.464507043,0.86212691,0.131011731,0.488792425,0.027563886,1.895771435,-1.19656476,0.894463224,4.997307963,5.027529464,-0.285113908,12.24310543,-4.486138179,-3.959915372,2.036503783,-178.4874423,-0.286502232,3.342390977,3.340720782,2.744345132,2.755756403,0.998727452,0.000167638,0.045123362,0.999608556,4.99E-05,0.052361221,0.999709965,3.70E-05,0.045142535,0.999722583,3.56E-05,0.044996734,0.999735311,3.43E-05,0.044995933,0.999748184,3.28E-05,0.044996777,0.999761165,3.14E-05,0.04490366,0.999774371,2.98E-05,0.044984319,0.999787794,2.83E-05,0.045001537,0.999801477,2.66E-05,0.045005188,0.999815469,2.50E-05,0.044994289,0.999829823,2.33E-05,0.044993612,0.999844631,2.15E-05,0.044994279,0.999859944,1.96E-05,0.044902405,0.999875995,1.75E-05,0.04498269,0.99989294,1.53E-05,0.044997178,0.999911087,1.29E-05,0.044998126,0.999930896,1.02E-05,0.044991956,0.999953657,6.99E-06,0.04499124,0.999983478,2.65E-06,0.044991646
0.466516,-4.641657574,4.22071375,1.505862325,0.83283573,0.235774749,0.498780412,-0.046082834,2.530393949,-1.429104151,0.689200641,5.102870327,-4.224383782,-0.299964778,10.18376384,-6.852696665,-3.196883086,-198.3433309,-18.39937303,11.57444943,2.768203217,3.23269128,3.369325269,2.511305925,0.998553924,0.000173527,0.045127572,0.999557945,5.06E-05,0.052560628,0.999672429,3.75E-05,0.045136842,0.999686339,3.62E-05,0.044996706,0.999700418,3.49E-05,0.044995925,0.999714702,3.35E-05,0.044996652,0.999729126,3.20E-05,0.04490304,0.999743863,3.05E-05,0.04498371,0.999758896,2.89E-05,0.045001687,0.999774239,2.72E-05,0.045005476,0.999789832,2.56E-05,0.044994256,0.999805893,2.39E-05,0.044993587,0.999822524,2.21E-05,0.044994152,0.999839757,2.02E-05,0.044901776,0.999857907,1.81E-05,0.044982072,0.999877149,1.58E-05,0.044997196,0.999897809,1.33E-05,0.044998144,0.999920363,1.05E-05,0.044991865,0.999946402,7.26E-06,0.044991147,0.999980708,2.77E-06,0.044991445
